parameter,setting,operation,paired_mean_delta_cycles,paired_median_delta_cycles,bootstrap_ci95_low,bootstrap_ci95_high,favorable_blocks,blocks,direction
768,normal-aslr-off,keypair_cycles,-445.4309895833326,-442.875,-457.1263020833326,-433.7708333333319,16,16,candidate-faster
768,normal-aslr-off,enc_cycles,-53.106770833332575,-49.47916666666788,-85.22526041666583,-19.976562499999545,13,16,candidate-faster
768,normal-aslr-off,dec_cycles,-302.0807291666679,-297.3437500000018,-329.4296875,-275.3710937500018,16,16,candidate-faster
768,normal-aslr-on,keypair_cycles,-410.75,-412.9166666666679,-424.0794270833326,-397.2877604166672,16,16,candidate-faster
768,normal-aslr-on,enc_cycles,37.39713541666674,61.47916666666788,-6.097656250001137,76.8229166666672,5,16,candidate-slower
768,normal-aslr-on,dec_cycles,-296.34375000000045,-331.125,-351.76041666666606,-215.89062499999955,15,16,candidate-faster
768,reversed-aslr-off,keypair_cycles,-388.7669270833326,-389.4374999999982,-407.58333333333326,-370.3515624999982,16,16,candidate-faster
768,reversed-aslr-off,enc_cycles,-28.609374999999318,-44.59375,-77.08463541666492,17.208333333333485,10,16,candidate-faster
768,reversed-aslr-off,dec_cycles,-260.25520833333326,-232.92708333333212,-290.32552083333394,-231.6236979166656,16,16,candidate-faster
768,reversed-aslr-on,keypair_cycles,-346.7174479166665,-345.02083333333576,-374.4609374999984,-318.6627604166674,16,16,candidate-faster
768,reversed-aslr-on,enc_cycles,105.1341145833328,122.28125,26.011718749999545,170.59114583333212,2,16,candidate-slower
768,reversed-aslr-on,dec_cycles,-256.4804687499993,-268.05208333333576,-293.1796874999998,-219.01302083333303,16,16,candidate-faster
