implementation crypto_kem/ntruplus1152/avx2 - 
publickeybytes 1728 
secretkeybytes 3488 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
forward_small_cycles - 1429 +101+13+5-3+10830+12+0-10-27+32+22+4-7-14-15+6+10+2+17-18+6-14+3261-5-37-4-1+1-26-4-2-22
forward_general_cycles - 1424 +90+20+1-21+39-11+18-7+22-18+1-4+19+4+53+8+10-4+14-5-14-6+13+16-13-9+8-10-2-10-15-43
basemul_cycles - 970 +292+46-9-7+9-5+0-2+1+3+11-6-10-10-9-5-2-3-5+1+9-3-7+14-1-2+9+11+6+3+14+5
basemul_scale_cycles - 839 +164+15-3-6-6+4-1-3-5-1+1+0-7+4+0-1+2+1+3+0+1-5-2-2-1+1-2+3-6+2+5-3
inverse_cycles - 1488 +544+56+47+11-8-26-6+9-21-16+33-20-15+9-2-11+18+4-3-1+6-1-23+7-12+1+9+3+2+3-9-21
baseinv_cycles - 1595 +1622+82+132-5+65+0-18+6-22+5-8-10-3+0+10+5-4-5-12+15-5-2-2+5+71-5-13+1+8+13-6+4
poly_frombytes_cycles - 426 +125+6-5-2-2+0-2+4+3-4+10-10+6+1+2+3+2-3+0+3+4-4-1+4-1-2+0+0-1-4-1-2
poly_tobytes_cycles - 527 +69+6+11-1-7+3+5+4-1+3-4+4+0+9+0-6+3+0-4-3-5-5+0-1-1-5+11+3+0+2+0-1
cbd1_cycles - 414 +128+17+36+29+34+34-5-12+1-6+0-9-3-12-5+23-7-3+12-6-6+29-7-15+32-9-2-4+34-2+38+18
crepmod3_cycles - 557 +171+15-1-7+2-3+4-7-2+3+0-3+8-6-7+4+3+2+3-3-5-14+2+14-16+3-6-6+12-7-4+11
poly_add_cycles - 279 +120-4-11-11+3-6+1-4+2+8-9-10+3+5-11-1-13+1+6-8-1+8+5-6+0-2-14+1+3+5+6+1
poly_sub_cycles - 278 +133+34+10+5+1+1+6-5-6-1-2-1-3+7+4-1+3-3+2+0-3+9+6-11-10-11-5+0-5+2+3-5
sotp_encode_cycles - 383 +157+17+13+24+13+15+0+9-6+0+2-6+0+0-6-7+0-1-5+3+2-6+3-5+3+3+0+0-5+0-6+4
