implementation crypto_kem/ntruplus1152/avx2 - 
publickeybytes 1728 
secretkeybytes 3488 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
forward_small_cycles - 1427 +105-3-1+5-17-36-24-4+0+6+10+6+2+5-6-17-11-8+27-5+17+0+2+29-6+13+14-8+10+9-16-30
forward_general_cycles - 1435 +92+1-11-4-3+0+2+9+1+4-24-8+14+20-19-9-16+0-1-8+17+3-10-3-10-3-12+109+71+15+20+17
basemul_cycles - 962 +239+35-4-4-10-15-3-4-1+1-5-1+2+7+0+0+9+0-2+0+11-9+1-2+4+12+6+0-2+9+4-4
basemul_scale_cycles - 836 +130+24+6-4+4-1+1-5+1+8+5+2+1-5+0+0+4+1+2-1+1-2-2-3+4+2-1-2+0-5-2-3
inverse_cycles - 1486 +564+138+9-7-18+4+6-11+7+10+0+16-27-10-1-10-5-2+4-8+10+27-23-3-9-10-3-6+4-1+4+16
baseinv_cycles - 1588 +1374+66+73+12-6-13-13+9-8-6-12+19+1+10+12-4+6-12+224+10-15-9+2-28-10-2-22+54-21+10+209-2
poly_frombytes_cycles - 424 +131+1-5+5+4+2+4+2+12-3+0+0+2-2+1+4-6+1-1+0+0-3+1+3-3+0+8-1-4-4+1-3
poly_tobytes_cycles - 528 +76+3+11-2+3-5-3+0-2-1-2+11+12-2-3-6+5-1-1+0+1-2+10+0+6-3+1+1+1-5-1+2
cbd1_cycles - 408 +142+31+37+2+11-5+48+0-4+36-2-1-2+5+39-2+17+46-2+0-5+9-4+2-3+1-7-6-6-2-3+47
crepmod3_cycles - 555 +151+9-1+3-1-6-4+0+4-11-3+13-6+1+11+6+6-8+0+3+2-5+2+1-4-2+8-11+9-4-9+4
poly_add_cycles - 279 +128+11+0+4-1+3-17+0+4+6+6-8-3-9-8+3+2-8+5+1-9-4-8+2+4-2-5-4-4+0-13+3
poly_sub_cycles - 276 +100+8+7+7+2+10+8+4+6-1+13-2-3+5+2+0-5-6-4-2-7-9-5-9-8+8+2+8-5-6-8-5
sotp_encode_cycles - 381 +126+22+20+16+19+18+2+6-3-4+3+2+1+3-2+7-1+2+3-3+2-3-1-4+0-3-1-2-3-2-5-2
sotp_decode_cycles - 441 +184-10+4+1+5+20-7-4+5+2-2+1-13-2+2+5+0+5+0+15+0-1-3-1+0+5-8+0+0+1-5-3
hash_f_cycles - 15635 +904+153-110-94-141-194-201-157-97+151+175-115-191+196+0-113+40+108+89-85-19+43+7+94-99+77-60+19+112-27+49+520
hash_g_cycles - 18051 +572+22+149-285+7-115+35-275-111-250-148-211-253-187+26-290+47+22+8+8-17+10+48+113-174+37+13-288+80-18+48-12
hash_h_cycles - 4922 +361+117+86+52+139+51-23+56-30+51+40+100-52+38+56+111+73-103-17-13-10-73+17-70-60-76-43-86-85-71-107-58
poly_mul_small_cycles - 4491 +369+66+42-21+48-17+27+15+9+10+19-39+44-40-50-29-24+4-54-48-7-69+24-19+24-15-5+24-5+11-32+19
poly_mul_general_cycles - 4482 +216+32-14+11-10-8-39-45+60-6+1-7+28+20+44+44+3-18-32+1+42-41-7+34+10+22+32-41-4-34-6+0
forward_small_cycles - 1438 +20+9+20+1-4-12-21-7+8+18-6-19-5-5+32+15+3-21-9+5+21-2+4-1+3-4+8-13+8+0-7-2
forward_general_cycles - 1429 +20-7+21+17+39+5+47-18-1-15+4+1-11+16+12-12+19+38-45-33-15-8-24-10+5+2-5-6-19+2+5+1
basemul_cycles - 963 +61+9-6-5+0-5+7-14+2-2+10-7+0-1+2-1-2+0+10-4-8+1-4-7+10+8+4-4-5+10+4+8
basemul_scale_cycles - 838 +32+13+3+14-1-3+0-7+0+2+4-5-2+0+3+1+4-3+0-1-5-4-3+3+2-3+5-5+2-8-1-1
inverse_cycles - 1476 +70+44+31+5-9+7+20+40+14+13+22+5+2-3-13-26-1-21+6+0+1-1-5+8-22-10-17-10-5-8-10-20
baseinv_cycles - 1587 +39+49-1-9-8-8-6+115+93+0+75+6+13-7-3+4-13-10-13+2-2+4+13+1-1-7-10+7-9-6+1+3
poly_frombytes_cycles - 425 +25+3-3-5+1-2+2+0-4+4+3-1+2-1-6+0+1+5-9+7-1-5-3-1+0-1+0+2+8-5+0+5
poly_tobytes_cycles - 527 +27+7+2+6+9+1+4+1+2+1+6-2+0+1-2-3-1-2-6-3-4-4-2-4+2+2-1-1+4-4-4-2
cbd1_cycles - 443 -4+11+21+14-7-18+13-30-43+6+10-20+11-32-38-36+3+10+11+11-1+8+3-5+16+8+5-38-38-34-42-32
crepmod3_cycles - 559 +30+16+5-9-1+8+3-9-10-2+3+12-2+2-10+2+8-16+9-4-1+7-2+2-1+3-8+6-5+0-5+0
poly_add_cycles - 273 +39+12-2-1+3-4+8+8-3-1+7+0+5+8-7+2-1-5-6-12+1+1+6+10+11-3-4-1-8+10-2-5
poly_sub_cycles - 278 +15+15-6-6+5-3+4-4-4-5+19-3-4+5+3-11+6-6+2-11-9+7+7+3-7+4+0+8-5-16+10-1
sotp_encode_cycles - 383 +65+21+19+19+7+7+5+12-6+1-1-2-3+3+2-6-1+0+0+1-3-1-1-4-2-1+1-1-5-6-5+2
sotp_decode_cycles - 439 +27+12+4+5-7+4+8-14-1-8+4+0-3+7-5-4+6+6+10-4+3-6+0-6-2-10-2-4+6+0+1-14
hash_f_cycles - 15574 +163+82+187-7-35+207-39-48+103-25-91+161+85+101+114-48+185+122-16-51-51-75-100-47-115+176-99-123-84+161-56+159
hash_g_cycles - 18050 +167-124-142+112-215+158-317+171+32-256+25-257-339-253-211-189+14+116+3+132-49-177+15+36-17+13+19+4-12+10-12+11
hash_h_cycles - 4901 +168+5+65+71+118+41+122-38-24-18+106+24+54-8-35-3+62-79-58-76-88+52-51+58-35-18-23+61+127-71-25-89
poly_mul_small_cycles - 4499 +103+50+28+33-4-31+5-26-40-43+65-44-29+42+90+30-8+50+29+24+5-24+12-32+4-6-2+6-18-19-4-36
poly_mul_general_cycles - 4482 +130+65+72+35+35+42+23-20-12+9+1-5-10+0-32+497+107+61+18-29+6+2-42-18-42+8-12-53-20-12-21-2
