implementation crypto_kem/ntruplus1152/avx2 - 
publickeybytes 1728 
secretkeybytes 3488 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
forward_small_cycles - 1435 +45+1-27+13+2+0+1-22-16-6+3-4+6-11+18-35-13-21-1-4-2-10+2+21+14+9+19-24+8-2+7+5
forward_general_cycles - 1435 +73+28-13+4+5+2-2+25-17-8-19+0+19-5-1-3+1-39+10-12-13+2+14-4+19+3+21+2+24-21-15-25
basemul_cycles - 959 +306+29+1+14+0-6-4+0-2+6+8+3+1-4+1+9+0+5+9-1+9-1-1+4-6-6-2-1-1+4-1+1
basemul_scale_cycles - 837 +177+15+0-1-4-2+3-2-2+1-2-2+0+3-1-2+4+2-3+3-2-1+2-2+0+1-2+1+1+4-1-4
inverse_cycles - 1483 +527+46+8+18+0-19-3+4+21+10+21+2+2-14+8+3+9+13-11-22-27-7-13-6-13+23+0-8+2-9-30-3
baseinv_cycles - 1591 +1347+298-3-20+9+128+4-23-22-2+384+11+2+11-6-20-1-13+16+78-8-12-24-21-3-1+24-9+24+6-6+11
poly_frombytes_cycles - 423 +132+24+5-4-1+8+4-2+2+0+6+4+1-2+11+0-3-2-4-3-2-3+1+4-5+2-6-7-4+0+7-6
poly_tobytes_cycles - 530 +76+11+6+8+1+2+4-3+0-6-8+0-8-11+0+0+5+2+1-2+4-3+1-2-11-8-2-6-4+4+2+4
cbd1_cycles - 412 +148+74+41+13+34+3-3-1-9+3-7+41-7-9-2-3-2-6-9+2+13+11+0+15+5+3-3-5+32+1-5-7
crepmod3_cycles - 554 +166+13-3-11+4+5-4+9-5+6-1-4-3+12+9+0+3+1-3+8-5+2+11-5-9-4-11+0-5+1-5+2
poly_add_cycles - 276 +145+6+7+3+10+7-4-2-4+0+7-1-12+3+7-6-1+1-2+1+5-2-3+1-2-4+2-7-8-2-5+2
poly_sub_cycles - 281 +108+2+13+2+3+8+5+1+1+1-3-2+6+4-4-16-1+2-7-6+5-12-9-4-3-15+1-8-10+6+0-7
sotp_encode_cycles - 381 +132+20+20+18+13+35+9-3-1+0+1+5+4-4+7+1-1+0-1-4+1+1+3-3-3-1-1-5-3-2+1-3
sotp_decode_cycles - 439 +206-5+1+1+0+2+10+12+4+0+1-15-8+6-1-2+1-7-4+7+5-6+4-7+1-12-4-7-3+2-8-7
hash_f_cycles - 16019 +890+145+20+55+125+49+0+14-59-117-90-40-26-60+2+6-43+66-76+38+34+86+9-147-161-23-43-145+99+3-9+24
hash_g_cycles - 18352 +547+163+58-4-15-68+18-21-6-68+68-26-22-30+110+98+24-49-41-48+54+50+40-50-32+69+106-5+11-29+7-6
hash_h_cycles - 4950 +321+96-1+53+26+13-49+23-120-121+19-5+6+33-35+5-20+1-78+26-145-101-6+88-107-84+62+104-123-91-12+587
poly_mul_small_cycles - 4513 +449+51+27-10+14-42-17-29-17+6+16+20-1-52+3+32+12-11+39-5-39+21-23-18+3+4-3-31+13+16-50-33
poly_mul_general_cycles - 4500 +193+55+45+46+24-17-47+6+16-3-43-22-35+13-6-29-7-32-63-39-54+16+46+30+31-5-16-55-11+11+22+25
forward_small_cycles - 1436 +40+23+1+3+15+1-25+14-26-9+7+24-25+3+9-5+4-5+7+5-9+24+1-8-19-15+16-18-20-24+1-11
forward_general_cycles - 1425 +50+58-2+4+27+10-14-4-16+16-4+12+32+36+2+8-3-9-24-9-12+4-13+4-3+4-3-12-12-30+4+4
basemul_cycles - 969 +28+22+1+5-6-1+10+1+3+10-7-5+8-2+13+16-10+6-5-4-1+2-8+3-5+3-5-6-11-8+8-7
basemul_scale_cycles - 837 +43+6+22+8+5+0-2-5+7+0+5+1+1+0-5+5-4-2+0-8-1-4-1+2+0-5+6+5-4-5-2-2
inverse_cycles - 1499 +56+6+27+8+1-11+16+10-6+11-8-23+7-8+11+2+0-6+18+6+9-31-1-22-4+4+7-32-21-16-16-33
baseinv_cycles - 1596 +90+14+3-9+3-2-13-19-16+6+11+123-6+13-16-9+9+3+0-19+0-21+3-3+9-7+4-27+16-13+100-8
poly_frombytes_cycles - 424 +31-1+0-2+0+3+7+4+0+1+2-3+0+10-3+1+2-3+4+7+0-4-6-3-1+0-7+7+6-2+6-2
poly_tobytes_cycles - 530 +18+9+0+0+1-6-5+9+1-1+3-4+3-3+0+6+6-2-2-3-2-9-4+4-4+6+0+2+4-6+10-7
cbd1_cycles - 444 +1-19+2+0-37+12-22+1+1+21+10+11+6-10+5-19-15-19+9+1+19-20-22+1+6+5+2+9-24-11-20-32
crepmod3_cycles - 558 +18+3+3-9-14-6+9+1+2-4+9+0+12-3+1+10-11-1-8+6+2-7+9-6-8-4+0-14-1+1-13+5
poly_add_cycles - 276 +42+15-6+3-2+1+1+5+0-4-6-5+2+3+1+2+1-9-3-5-6+6-1+1-10-8+10+3-8-5+4+1
poly_sub_cycles - 275 +23-1+3-3+13+5-5-3+10-6+6-4+3+0+4+0-6+0+0+5-7-6+1+0-1-10-1+4-3-5+1-3
sotp_encode_cycles - 381 +31+24+19+15+13+14+0+1-2-5-4-6-1+3+4-3+5-4+0+4-3-5+1+9-3+5+2-2-3-5-2-2
sotp_decode_cycles - 437 +28+14+4+1+14+5+12+15+0+10+0-1-3+1-11+3-6-9+6+2-2+0+11-1+4+0-3+0+0-3-2-6
hash_f_cycles - 16012 +19-42+83+103+97-33+28-66+45-41-105+106+26+35+20+39-4-62+59+14-19+93-18-18-32-86-99-32-72+18-8-4
hash_g_cycles - 18347 +243+53+39+39-27+175+107+124-57+146-23-26-63+138+12+70-30-47+20-6-98-10-7+6-17-33+36-13-20-92+0+37
hash_h_cycles - 4913 +229+111+67-19+64-32-63-91-43+36-54+6-57+12-46+42+46+32+96+63-87-26+34+42-39-12-30+62-55+76-66-34
poly_mul_small_cycles - 4500 +277+49+35+1+10+48+20+10+8-26-5+6-20+5-35-10-6-22+2+30-31-4-18+8+42+0-68-17-37+14-27-23
poly_mul_general_cycles - 4499 +208+54+1+0+14+12+22-47-2+15-39+22-2-20+12+15-25+6+62-13+8-41-38-34-23+21-61-5-52+6-7-24
forward_small_cycles - 1428 +66+61+37-1+8+2-5+5+13+10-4+19+2-26+5+12-15-17-4-16-20-8+8-16-5+8+3-5+5+0-10-14
forward_general_cycles - 1437 +56+16+10-5-11-11+7-5-33-5-2-12-25-3+2+12+10+11-16-5+18+13+0-26+20+1+9+4-15+10-15+4
basemul_cycles - 967 +29+13-5+7+11+13+1-2+0-12+2-3+2+0+0+8-9+1-6+1-1-3+3-1-2-3-4+0+4-13-2-2
basemul_scale_cycles - 839 +23+8+5-4-4-3-4-3-3+1+0+0+0+3+3+1+3-2+4-4-4-1+0-1+4+1+1-3+0+6-6-4
inverse_cycles - 1487 +65+13+27+19+18-12-18-2+16-10-26+5+15-15+12+18-21+5+0-6-12-2+14+5-4-9-18-9+27+19-16-15
