implementation crypto_kem/ntruplus1152/avx2 - 
publickeybytes 1728 
secretkeybytes 3488 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
forward_small_cycles - 1435 +130-19-13-25+2-12+5-4-4+8-24-10+16-23-19-27-2-1-6+13+6+7+19+36+26+19+11+19+13+0-20-9
forward_general_cycles - 1428 +124+13+15-1-17+6-1-3-3+4-5-10-21-9+12-14-11+2+32-24+15+13+24-9+1+23+26-1-4-9+9+3
basemul_cycles - 965 +258+41+10-2-7-4+7-6-6+3-10-5+1+8+0+2-5-4-14+6-13+3-3-1+0+5-4+7-1+8+7+3
basemul_scale_cycles - 838 +128+10+4-4-2-3-4-2+3+1+2+3-3-4+1+3+3+2-2-6+2+0+3-7+2-5-1+3-5-4-3-2
inverse_cycles - 1475 +560+103+14+10+1+26-2-2+1-8-14-8+16+1+13-4-28+2+12-2+10-5-11+2-18+17-2+17-4+0-23+2
baseinv_cycles - 1581 +1354+82-8+140+0+0+2+4-2-2+3+19+9+88-2+17+7-9-5+13+5-17-5+0+9-7-3-6-1+0-9-1
poly_frombytes_cycles - 425 +121+3-1-3-3-6+0-2-3+3+0+0-3+0-1-2+2+2+6-1-6+0+1-1+3-2+10-9+1+2-2+5
poly_tobytes_cycles - 530 +72+2+3-5+3-9+0-4+2+9-1+9-5-5-6+0-5-5+0-8+4-7-4-3+1+1-2+5+1+3+0+3
cbd1_cycles - 439 +102+18-14+16+10+16-1+18-29+10-22-14-28+7-33-13-34+23+16-25+8-33-21+10-3-30+4+10-27+18+14-39
crepmod3_cycles - 552 +155+22-4+0+13-1+0+0-5-7+5+7-5-4+1+11+1-1+15-4+0+4-2+12+1+9-2-1+6-5+5-2
poly_add_cycles - 278 +202+2-7-2-15+9+10+5-12+6-1-1-2+6+4+4-12+2+1-9+1-1+1-9+1-6-11+13-7-3+10+0
poly_sub_cycles - 279 +87+0+1+0+3-2-5-5+3-3+8-4-1+1+0+3-2+9+2+2+1+0+8-2+7+5-1-2+10+1-9-5
sotp_encode_cycles - 383 +126+26+22+15+26+11+21+7-6+3-4-6+0-5-6-3+0-7+5-5+0+2-5-6-6+0+1+8+2-2-5-1
sotp_decode_cycles - 438 +184-4+5-2+8-6+16-1+0+8+5-2+6+1+7+1+10-8-5-2-8-10-8+4+2+16+5-8-7+9-5-3
hash_f_cycles - 15683 +963+237+47+15+102-191+77-240+104-28-27+15-241+47-206-143+4-214+45-212+82-200-15+6-179-34-12-200+28+11+518+70
hash_g_cycles - 17899 +334+189-160-182+191+57+234-104+175-167+129-185+15-195-143-61+156+163+176+145-125-139+19-77+173-114+206-97+130-149+12-116
hash_h_cycles - 4902 +388+180+118+16+32+18+56+47-71-19-87+82+57-63-27+31-40-81+16+69+37-103-41-38-65-65+10-32+104-21-105+8
