implementation crypto_kem/ntruplus1152/avx2 - 
publickeybytes 1728 
secretkeybytes 3488 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
forward_small_cycles - 1431 +65-14-11+4+12+22+9-4-9-21-11-8-9+2-18+3-14-14-19-10+5+2+5-2+16+27-14+5+15+7+4+27
forward_general_cycles - 1436 +100+19-15-41-32-15+13-4-7-5+11+3-17-10+4-16-1+17+15+20+7-5+6-4+9-6-5-5+17+18+4+1
basemul_cycles - 959 +226+22+0-1+2+6+1+0+3+6+1-4+6-6+7-3+8-8+6+5-7+2-5-2-8-3-2-5+8-5-8-2
basemul_scale_cycles - 839 +168-4-4+6-6+1-3+0+2-5-7+6+0-5-3-5+1-3-2+1-3+1+0+0-3+0+5+1+1-2+4+3
inverse_cycles - 1486 +574+112+1+28-8+9-3+25+8+7+9+0-25-14-11+0-1+0-17+3-17+1-4-12-36+10-7+7-13-1-2+18
baseinv_cycles - 1591 +1282+87+224+2+2+15+20+148-17-3+17-8-7-22-2-17-8-23+68-21-3+1+3-7+18+2-12+3+72+5-12-4
poly_frombytes_cycles - 423 +116-1+0+1+5+1-4+1+2+4+3+1+3-2+8+2-3+0+2+4-5-7-1-8-4+0+0-7-1-4-11-5
poly_tobytes_cycles - 531 +82+3+11+5+4+1+1+5+3+3-12-9-1+4-3-2+2-4-9-1+3-7+4+5-3-1-4-2-4-7-4+7
cbd1_cycles - 431 +110+27-13+11-7-14+19-12-8+10-1+22-21-18-15-21+10+21-3-19-21+20+24-6-23+21+19-11-18+12+21+6
crepmod3_cycles - 556 +160+10-6+8+2-3+10+16+4-1-8+0+3-1-4-11+1+3-3+5-7+1+1-9+1-9+5-3-1+0-9+12
poly_add_cycles - 277 +135+7-5+1+1-4+0+0-3+1-4+3+7+2-5-7-10+2+8+6-4-4-9-2+12+0+1-3-6+5+4+2
poly_sub_cycles - 280 +131+12-1+2+0-3+3+4+3-2+6+7+4+4-5-1+4+2+2-8-10-2-9+3-5-6-3-14-4-10-11+1
sotp_encode_cycles - 383 +145+19+19+18+13+13+3+0+24-2-4-1-7-5+0-2-7+2-5-6+2-3-3-2+0+4-3-6+3+2-5+1
sotp_decode_cycles - 439 +192+0+7-3+5-4+1+5+11+5+10-3-1+6-9-2+2+2-5-10-3-12+2-2-1+4+1-4-1-3+2-9
hash_f_cycles - 15553 +955+69+69+265+170-79+163-68+179-3+88-96+156-160+130+108+31-47-33-72-34-57-54-54+17-59+24+115-59-42+44-97
hash_g_cycles - 17952 +588+130+257-155+39-194+235-183+94+145-186+197+187-241-208+175-246-178-157-32+75-166+199+66+159-66-168-17+99-201+123-206
hash_h_cycles - 4909 +327+165-18-27+18+32+52+7-46+87+83-38+137-59-52+57-36-59+71-31+82+13-54+29-37+8-76+51-89+58-66-44
poly_mul_small_cycles - 4489 +537+83+81-8-12+22-11-20-33-10-32-6-34+33+58+12-6+17+6+61+31-14+12+22+33-34-49-12-20-3-59+26
poly_mul_general_cycles - 4489 +227+43+61+21-10-48+1+1-12-22-37-23-7-2-30+9+7-6+1+38+4-29+14+31-24+23+18+2-11+1+30-32
forward_small_cycles - 1444 +53+23+7+11-2+1-8+4+12+14-3+8+6-1-10-17-6-12-13-2-26+0-1+3-3-2-16+14+1+10+8-18
forward_general_cycles - 1438 +48+39+3+16-10+4+15+17-3-8-3-14+26+15+1-17-4-20+6-1+7+16+1-23-24+11-14+10-11-3-34-33
basemul_cycles - 959 +92+9+2+5-8+0-2+2+14+2+5-2-3+4-2+4-8-1+1-4-8+7-4-4-7-9-10-5+8+1+9+16
basemul_scale_cycles - 837 +37+17+2-5+9-1-7-1-6-4-3+4-5+2-3+2+0+10-3+4-1-3+5+2-2-5+4+1+3+3+1-5
inverse_cycles - 1492 +73+2+4-17+1+6+1+11+30+1+2-13-5-10-15-23+15+5+19-12-6+3-7-11-10+1+1+11+7-13-8-2
baseinv_cycles - 1588 +124+48+10+3+134+3-1-7-10-3-7+0+4+4+22-5-12+9-16-21-8-2+3+10+12-21-2-18+8+6-17-16
poly_frombytes_cycles - 422 +46-2-1+3+5-2+1+3-2+3+3+3+8+2+3+2-3+0+0-1-2+2+1-1-2-5-7-5+1-9-4-5
poly_tobytes_cycles - 528 +1-2+5+13-1-6-1-1-5-1+2-3-1-1+1+3+9+4+1+3+1+1-3+0-9+6-6-5+2+2-5-4
cbd1_cycles - 416 +46+21+1+0-9-7-2+32+32+38-12+3+38-9+6-13-14-2-10-2+5+24+5-3-11-3-10+35+32-11-8+27
