implementation crypto_kem/ntruplus1152/avx2 - 
publickeybytes 1728 
secretkeybytes 3488 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
forward_small_cycles - 1433 +103+21+19-30+1-23-5+2+6-1+45+0+2+1+11-4-11+29+0+14-14+17-12-1-1-14-7-3-17+12+8-20
forward_general_cycles - 1446 +110+40+34-13+24+24+5+12+7+5+18+15+8-19-35+5-9-16-38+5-22+6-13+0-15-6-19-32-20+6-7-7
basemul_cycles - 1712 -396+1174+605-748-468-725-750-743-742-740+1817+1807+881-704+281-743+716+1807+1323+1095-206+657+1816+1354+1241+1798-739-115-742-761-745-358
basemul_scale_cycles - 2334 +762+741+723+723+308-310+297-71+38+80+71-918-1506+248-993-102+171+120-1500-1159+651+396-1295-1070-407-1497+217-1496-489+529+480-1386
inverse_cycles - 3535 +1991+1640+1511-335+1334-1351-1907+1102+1610+417-24+1712+1736+1736+1757-1426-2070-1534+1519-874-248-255-268-171-769-1138-368-45+1100+153-702+172
baseinv_cycles - 3050 +3211+1820+1103-355-1427+451-39-367+789-706+196-1444-1452+836+1585+554+1344+109+1555+1089-1418+57-849-1332-1458-1452-1401+1747-1451-54+1729-447
poly_frombytes_cycles - 1170 +159+96-215+69+63+72+81-91-753-753-748+63-755-755-754-751-757-749+51-422+54+63+54+45-700+72+81+78-449+60+42+81
poly_tobytes_cycles - 1656 +36+36+27+42+33+33-696-1132-1129+42+42-303-1129-1120+73+42+42-680+36+27+37-1126-181+45-1124+27-470+18+33+15-307-611
cbd1_cycles - 434 +167+20-14+12+14-22-23-22-8+20+18+8+0-26+13-14-29-25-23-28+23+11-5-4+8-28-18+17+18+17+8-10
crepmod3_cycles - 559 +509+25+29+2-10-1+4+3+4-9-3-10+16-4+3-6-8-4-9-6-1+3+1+10+0-4+5-13+12+0-3+0
poly_add_cycles - 277 +239+45+3+6-1-4+1+4-1-3+0+1+0+2-6-4-1-7-10-2+3-10+4-7+0-9+0+5+4+14-9+13
poly_sub_cycles - 281 +106+3-4+13-1+2+3+8+8+7-3-16-12-12+3-1-5+7-6+1+10-15+4-9+13-4-7-8-7-2+6-1
sotp_encode_cycles - 383 +409+18+17+9+17+14+18-1-5-1-4+1-1+2-1+5+4+1+4-6-1-1-6-4+0-7-6+7-2-4-3+4
sotp_decode_cycles - 435 +490+0+3+3-10+5-3+6+5-3-3-5+6+7-3-6-4-3+5+0+2-1-4-1-1+4+4+7+0+4-8-7
hash_f_cycles - 15703 +1235+34+109-95-15-24-139+32+42-32+83+10-30-30-181+51+55+60+36-12+3-8-53-12-3-27+35-21-42+48-8+55
hash_g_cycles - 18090 +514+194+122+75-29-15+106-216+60+18+41-14-34-37+72-43-146+12+78+10+25-37+5-17-47-332+59-28-150-358-1+18
hash_h_cycles - 4872 +440+218+163+53+82+59+90+25+82+35-16+98-6-52-42-18-12-3-22-6-15-45-39-15+17-23-24+8+12-36+114-13
poly_mul_small_cycles - 4555 +427+77+1+62+30-25-38-4-9+11+15-7-3-39-56-63-20-97-27+574+199+24+39-17+27-13-14+19-5-11+23+20
poly_mul_general_cycles - 4502 +210-30+7+5+9+9+22-44+9+21-9+5-28-50-26+12+37+4+16+53+24+27-32-12-33+17-18-34-35-5-33-21
forward_small_cycles - 1422 +118+5-4+7-23-9-32-5-5+13-13-8-2-7+14+8-4+22+3-7-2+11+25+5+3+10+3+2+1-12-12+8
forward_general_cycles - 1442 +40+28+5+0-16+15-39-25+24-6+9+12-9-13+30-12-9+9+2-26-7+25+25+15+27-13+1-3+4+0-11-19
basemul_cycles - 967 +56+11-4+4-16-4-7-8+3+13+0+1+0+11+0-3+8-6-1-7-2+7+1+0+10-4+0+9-6+2-1-1
basemul_scale_cycles - 836 +31+21+3+18-3-3-3+3-3-2-2-1-4-4+2-2+2-2+0-3+1+3+0+2-6+2-1+2-2-1+4+2
inverse_cycles - 1495 +45+5-13+15-12+7-9+20+21-12-18+17+15+13+3-3-8-13+0+14-6+12+8+9+2-9+10-8-18-8-27-10
baseinv_cycles - 1596 +150+112+6+12-2-10-11+53-7-14-21-27-12+57-10-19-17-7+4+2-7-7+16+55+4+6-18+60-1+4+88+19
poly_frombytes_cycles - 424 +63+10+3+3+3-4+9-3-3-1-1+1+0-1+0+2+8+0+2+2+3-5-1-2-3+5-5-5+4+0-4-3
poly_tobytes_cycles - 525 +73+3-1+0+4-3+0-1-4-4-3+4-4+0+4-3+0-2+0-1+0+2+0+3+6+3+1+1-4-4-2+9
cbd1_cycles - 440 +0+0-1+9+4+8-13+12+1-11-19-14-12+8-23-39-30-30-13-10+4+13+7-15+12+13+15+6+10+2+8-22
crepmod3_cycles - 557 +30+9+10+0-10-3-7-5-11+2+4-10+2+4-14+5+6+11-14-3+8-5+22+3+0-4+0-5+5-4-9+16
poly_add_cycles - 277 +57+6+7+2+4-5+11+1-9-4-5-11-12-2-6-5+0-3-2+11+9+4+9+5-4+2+0-1-8+6+4-6
poly_sub_cycles - 272 +31+43-3+2-6-3+5-1-1+6+17-4-3-4+13-5-4+1+1+15+3+2+5+2-8+3-3+2-10-1+1-3
sotp_encode_cycles - 384 +88+18+17+15+21+16+14-1-6-7+3+0+4+0-5-4-1+0+0+0+0+0-3-2+0+4+5-5-7+1-1-7
sotp_decode_cycles - 437 +45+3+8+6+5+7+3+1+8+2-6-2-2-1+0-9+12+3-3+4-5+3-1-9-3-8+1+1-2-2-5-1
hash_f_cycles - 15546 +140+123+296+248-95+157+121+183+187-79-110-15-11-61+24-110-94-89-30+10596+142-41+97+120+196-69+21-41-64-59-78-56
hash_g_cycles - 18112 +103+138+32+42+609+47-84+33-31-156-44-163-34-77-88+36-77+56-1+88-48-60+115+49-6-46+18+9+53-244-228+12
hash_h_cycles - 4929 +206+92+15+126+60-98+64+89-98-60+56-90+43-93+92-47+74-48-76+65+16-101+56-52+57-75+26-92+28-31-83-111
poly_mul_small_cycles - 4537 +180+110+60+53-12-4+5+0+14-10+34-28-38-65-22-17-32-2+41+8-31-10-11+48+7+5-10+31-7-7+11+32
poly_mul_general_cycles - 4515 +187+62+6+1-3-31-3+22+37-54-8-30+26+40+48-20-40-26-50+7+22-21+28+13-11+23-66-71-22-10+22+61
forward_small_cycles - 1434 +50-5-5+2-21-13+6-2-18-44+9-20-4+0+6+29+9+21+30+10+19-12+26-10-24+9-37+1+17+3-5-23
forward_general_cycles - 1435 +20+24+19-19+5-10-9-9+1+1+8-47+0-16+27-14-7-5-20-4+11+0+4+11-9+34-7+10+10-24+5+10
basemul_cycles - 969 +38+24-1+7+3-9+12-7+3-9-7+6+1-13-10+4+0-5+0-1-4+0+3+0+0-3+3-6-10-3+4+7
basemul_scale_cycles - 835 +27+13+0-4-2-1-2+4+0+0+5+2+25+12+3+5-3+4-1-4-1-2-3+7+5+0+0+5-1-1-4+0
inverse_cycles - 1484 +84+6-4+29+20+9+9+15+11+15+6-7-12+9-12+9+6-16-15-12-3+8-17+5+6-36-16-13-33-10-12-25
baseinv_cycles - 1594 +28+128+16+7+12-6-15-27-15-5+0+0+8+15+73+18+0-9-3-13-7-13+1-9-1+2+16-6+13+0+2+6
poly_frombytes_cycles - 421 +46+12+4+6+2-1+1+2+1-1+4+1+0+3-1+3-1-1+4+5+0+9+2-3-2-8-3-6-3-3-1-7
poly_tobytes_cycles - 528 +18+0+3+2+0-1+2-4+3-7+2-4+1-1-4-1+2-1-4+2-2-7-7+5-5-9+2-1+1+1+6+11
cbd1_cycles - 446 +46+7+11+3+10-25-23+1-11+6+5+13+13+5-24+5-30+2+11-20-26-1-26+7+4-30-4-21-17-27+1-3
crepmod3_cycles - 560 +38+17+13+0-2+2-4-1+2+6+2-2-3-15-9-1-17+2-1+1+6-4-3-5+3+2-8+4-6+3-11+4
poly_add_cycles - 277 +53-2-3-3-3-4-1-7+2+4+4-3+4-3+2-1+9-7+7+8-8+2+14+1+3+2-4+0-2+0-9+5
poly_sub_cycles - 277 +33+8+319+13-6+2+7-8-9-1+8-8+2-13+1-9-10+1-6+1-5-4+6-10+5-1+9-4+14-1-8+8
sotp_encode_cycles - 382 +67+27+30+21+16+11+16+10-2-4+0-2+0-2-4-5+4+0-5-4-7-2-1-3+1-2+22+0-5+1+1+2
sotp_decode_cycles - 438 +98-5+10+15+2+11+1-8-1+3+4+3-5-9-4-10+1+3+6-8-8-1+3-4-5+0-1+0+0+6-12+5
hash_f_cycles - 15717 +90+68+35+85-6-219+1-65-39-12+33+43+8+56+58-220-45+27-314-8-276+17-52-157-224+2+0+29+56+25-291-38
hash_g_cycles - 18079 +120+33+156-1-51-54-14+60-47-276+42+40+21-82+41+0+0-67-38-76+70+34+0-26-42+12-58+10+8-4+16-29
hash_h_cycles - 4873 +89+135-2-24-11+87+81+47+103+85+93+137-3-5-34-47-29-27+1-5+91-7-28-11+70-56-5+102-44-21-37+29
poly_mul_small_cycles - 4539 +157+10+40+43-7-1-62-40+30+59+61-3+58-1+34-31-20-51-31+25-25+7+2+24+13+30-10-50-78-40-35-33
poly_mul_general_cycles - 4520 +139+15-52-25-30-38-30+1+45-21+12-39-57+33+21+1+7+6-11-5+51+12+29+0-1+0-9-4-54+26+59-8
