implementation crypto_kem/ntruplus1152/avx2 - 
publickeybytes 1728 
secretkeybytes 3488 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
forward_small_cycles - 1435 +60-3+8+10+5+12-3+1-4+21+3-25+20+4+20+19-4+24-25-19-8+22-4-3-13+7-29-7-27+14-3-21
forward_general_cycles - 1439 +80+25+23-1+40-4-12-1+11-7+12+6-22-5-5-1-41-23-12-38+2+17-1-20+13+6+4-8-9+13+14-1
basemul_cycles - 968 +308+29-12-1-3-7+4-2+2+9-2-9+8+2+0+2+9-3-3-5+9-9-9-9-3+3+1-4+2-1+9+4
basemul_scale_cycles - 837 +151+8-6+4-1-6-1+0-3+0+6-3+6+0+3-2+1-1-1-1+3+0+3+8-4-7+0+2+2+7-1-3
inverse_cycles - 1485 +608+80+18+3+17+27+1-24-6-10+1-4+19+23-4+10+12-4+8-13-15+7+4-26+13-6-21-14-3+4-13-20
baseinv_cycles - 1586 +1330+115+122-3-10-11-3-17-18+2-9-11+3-1+14+19+22-13+15-3+6+4-5+19-14-6-11+77+4+13+8-3
poly_frombytes_cycles - 425 +121-3-7-2+6-4-4-1-2+2+8-6-5-4+4+0+3+0+3+0-4+11+2+5+0+5+1-4-3+6-7+2
poly_tobytes_cycles - 527 +70+13+16+0+2+8-3-5+2-8-4+0-2+3+7-2+0-4-1+2+4+2-2+4+5+1-3-5+0-5-3-5
cbd1_cycles - 435 +117+49+11+13+7+14+11-14+13+23-14-16+10+9-23-25-19+0-29-10-2+18+9+10-32+3-38-24-18+18-17-30
crepmod3_cycles - 556 +183+10+1-5-12-12-1-11-2+1+0+6+8-15+17+3-13+9+4-3+1-2+1-3-2+10+5+5+6+13-5-4
poly_add_cycles - 279 +138+1-6-9+4+2+2+17-4-19+0-6+1+2+0+2-1+0-6-1-9+4+4+5+3-3-1+9-2-3-3-6
poly_sub_cycles - 281 +119+8+2+1-1-1+5-2+8-4+2-3+7+0+35+0+1+3-13+5+3-11-10-7-11+0-10-7-6-18+1+9
sotp_encode_cycles - 381 +133+26+20+21+20+10+5+7-3-4-3+1+9+1-4+3-4-2+0-3-3+2-3-3+3-1+0+0-5-4+0-3
sotp_decode_cycles - 447 +493+11+6+1-5-3+5+8+3-4+4+1-8-2-14+3-15+1-5-7+1-3+1-5+0+1-6+0+3-8+0+6
hash_f_cycles - 15627 +869+104+116+102+99+124-106-127-91+72+65-73-147+60+100-53-142-98+75-63+17+35-123+129-96+120-145-132+9+76-116-155
hash_g_cycles - 17956 +628+319+4+9+157-164-256+24-35-84-89+13+111-81+189+21-12-39-124-210+140+116+125-70+100-165+107+116-22+140-213-36
hash_h_cycles - 4912 +278+163+161+88+125+89+64+55+48+11-5-16-27+81-16+3-12-31+20-9-17-15-31+5-38+52-21-16-67+24-9-71
