profile,component,cycles:u,instructions:u,mem_inst_retired.all_loads:u,mem_inst_retired.all_stores:u,ipc
1152-exp017,gt_forward,1222.0380859375,3069.000732421875,808.00048828125,213.0,2.511378955973747
1152-exp017,h4_exact_egress,1758.444580078125,4723.002685546875,1687.001708984375,126.0,2.6858979458636334
1152-exp017,official_forward,1213.97900390625,3420.99951171875,372.001220703125,287.0,2.818005501504487
1152-exp017,official_tail,1412.756103515625,4835.000244140625,661.001708984375,355.0,3.4223885015317155
1152-exp017,serializer_v2,451.78662109375,1158.998046875,125.000244140625,51.0,2.5653660218382095
1152-exp017,serializer_v2_hash_g,18295.88623046875,43212.013916015625,5732.010009765625,564.0,2.3618431690973907
1152-official-caller-building-blocks,hash_f,15538.621826171875,36354.009765625,4915.008056640625,449.0,2.3395903557156874
1152-official-caller-building-blocks,hash_g,17851.7734375,42079.01025390625,5639.0087890625,565.0,2.357133334748342
1152-official-caller-building-blocks,hash_h,4750.612060546875,11225.003173828125,1474.00244140625,166.0,2.3628540976961903
1152-official-caller-building-blocks,poly_add,-22.283203125,-45.0,94.0,64.0,2.0194583223770706
1152-official-caller-building-blocks,poly_sub,-17.222900390625,-9.00146484375,100.0,65.0,0.5226451201360833
1152-official-caller-building-blocks,sotp_decode,133.92431640625,486.998046875,125.0,47.0,3.636367613762729
1152-official-caller-building-blocks,sotp_encode,70.576171875,315.99951171875,-19.999755859375,74.0,4.477424934274249
1152-official-v3,baseinv,1243.070556640625,3342.99267578125,326.998779296875,430.0,2.6893024357488002
1152-official-v3,basemul,626.14111328125,2124.9912109375,265.998291015625,128.0,3.393789620045277
1152-official-v3,basemul_scale,492.095703125,1655.99072265625,197.998046875,57.0,3.365180212182431
1152-official-v3,forward_small,1056.9033203125,2973.990234375,293.998291015625,274.0,2.813871597541831
1152-official-v3,inverse,1136.864013671875,3558.99169921875,322.99853515625,278.0,3.1305342208201488
1152-official-v3,poly_frombytes,82.553466796875,341.98974609375,-11.001953125,60.0,4.142645480113208
1152-official-v3,poly_tobytes,200.926513671875,650.9931640625,4.998291015625,43.0,3.2399565003432587
768-gt32-clean,baseinv_j1,940.30419921875,1997.99951171875,208.00146484375,190.0,2.1248437616026647
768-gt32-clean,basemul_general_m,461.568115234375,1484.003173828125,323.001220703125,80.0,3.215133638671246
768-gt32-clean,basemul_scale_m,391.14111328125,1270.00048828125,209.0009765625,45.0,3.246911268486512
768-gt32-clean,forward_m_full,605.53125,1613.0009765625,401.001220703125,90.0,2.6637782551478555
768-gt32-clean,forward_p_full,627.7314453125,1627.998779296875,419.001220703125,91.0,2.593463799613253
768-gt32-clean,inverse_m_full,724.266845703125,1921.001220703125,433.00146484375,95.0,2.6523390268378213
768-gt32-clean,q24_pack_m,167.755859375,601.0,142.000244140625,97.0,3.5825872326553423
