implementation crypto_kem/ntruplus864/avx2 - 
publickeybytes 1296 
secretkeybytes 2624 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
forward_small_cycles - 1138 +149-15-5+4+1-19+344+47+27+39-4-12-4-3-35+8+2-2-6+20-10+8-10-12+13-3-20+3+1+7+6+6
forward_general_cycles - 1123 +95+10+4+44+11+12+2-7+4-16-4-1+1-6+0-7+9+6-6+21+10-2-20-9-16+24+15+15-18-10-37-6
basemul_cycles - 659 +323+26+3-1+26-5+21-11-8-14-3+21+23+1+11-7+20+13+8+6+1+3+6-3-5-15-6-6-10-10-4-11
basemul_scale_cycles - 563 +81+15+11+13+2-2+4-4+0-5+2+4+5+5+4-10+0-3+5-4+2-3-8-1+7-4-4-4+1-7-3+7
inverse_cycles - 1177 +589+69+22+4-28-1-4-12+21+3+22-9+3+2-9-36-9-17+15-12+8+13-6+9-5+16-4+2+33-10-7-4
baseinv_cycles - 1190 +1265+32-2-30+6-22+1-15-6-25-17+2+10-34+153+4-6-2-1+7+12+80-5+3-3+2-5-7+149+2-3+8
poly_frombytes_cycles - 638 +194+53+3-7+4+0-11-6-5-1+5-3+3-4+1+4+0+3-4-2+1-3+6+1-9-3+28+12-5+10+9-3
poly_tobytes_cycles - 692 +100+28+18-3-7-3+0-6+11-11+0+12-1+21+6-7+3-4+8+3-5+18+13+25+0-5-3-9+16-8-7+2
cbd1_cycles - 347 +127+12+19+13+13+4+9+0-6-5+8+10-6+3+2+2+1-4+1-5-5-2-2+0-4-5-4-1-4-2-2+2
crepmod3_cycles - 464 +312+24+21-1-5+20+8+4-1+2+0-15-6+2+1-12-7+3+1-6+0+8+5-5-3+1+5-1-11-15-4-2
poly_add_cycles - 240 +115+28+1-4+1+1-4-4-3+2+4+4+16-2+16+5-4+11+9+6-4-4-2+7-4-6-3+1+1-5+0-4
poly_sub_cycles - 241 +134+28-1-1-1+4+1-3+1+0-2-1+0+9+6+18+12-3-7-5+1+13+24-4+4+0-7+2-4-3-2-5
sotp_encode_cycles - 371 +162+48+3-13+1-1-1+1+8-6+1+2+6+11-1+1+3-2-11+13-3-10+4-7-7-18-18+2+5+8-4-4
sotp_decode_cycles - 397 +216+2+2+3-5+14+0+4-4-4+5+5+4+12-1+8+0+7+0-11-4+0+0+3-2-2-4-10+0-11+4-5
hash_f_cycles - 12134 +920+143+83-31-114+41-57-14-156+43-132-32-33+13-168-59+6+49-2+20+9+118+5+0+23+8-207+42-105-13-169+577
hash_g_cycles - 13307 +487+90+57+40+33-196-139+16-163-254+67+13-63+68+65+115+59-206-8-189+39-62-43-207+120-128-229+58+16-130-145+75
hash_h_cycles - 3862 +246-8+6+34-15+26-12-14-9-5-2+8+6-13+12+13+14+6+1+16-31-22-15+7-14+4-3+5-9+58-12-25
poly_mul_small_cycles - 3313 +467+92+38+58+23-16-26+29+10-9+74-25-21-1-43-35-24-3+8-10-7+0+26+13-19+4+1-2-4-12+7+13
poly_mul_general_cycles - 3307 +238+59+66+35-37-25-42-14+27-25+29+28-10+9+36-26-46+2+31+35+13-29+4-1+14+27-3-21-56-36-35-14
forward_small_cycles - 1128 +41-13-8-48+5-13-14+0+8+11+2+10+8-2-2+9+2+16+2+6-8+9-10-6-9+7-19+20+1-8-7-8
forward_general_cycles - 1121 +72-12+15-4+16-4+3+5+32+10-1+31+2-22+19+12-11-9-19+2+3-5-8+11+14+1-3+20-7-21-10-9
basemul_cycles - 660 +16-13-6-13+5+4-5-9+13-13-14+11-18+13-13-18+11-5+21+0+4+3+1+19+10+3-12-12+11-1+3-4
basemul_scale_cycles - 565 +16+17-4+2-7-5-6+5-7-8-4-4+10-8+9+1+4+1-1+0+0-1+3+0-5+0-3+7+0+6-6+0
inverse_cycles - 1188 +120+15+24+9+10-5-15+2+13+16+6+4+9+2-8+2-7+30-10-5+7+0-9-3-3-12-6+21-7-9-18-16
baseinv_cycles - 1186 +101+22+4+187-3+1+11-5+3+14-21+0+3+7-14+4-25-9+5+3+92-23-9-33-16+5+2-9-26+1-18-28
poly_frombytes_cycles - 645 +32+7+6+4-7+8-4+0+5-3+0-19-9+10+8-2+8-2+3+8+4-19-7+16-17-11-7-5+1-4+20-11
poly_tobytes_cycles - 701 +15-10+9+12+7+7+1+1-11+3+6-9-12+7-21+2-19-6-6-11+3-2+2+7-6+4-11+7-10+1+2-5
cbd1_cycles - 347 +51+37+14+11+10+4+2+9+2-3+10-5-2-3+0-5+0+5+1-3-6+0-2+6-6-3+3+8-7-2+0-6
crepmod3_cycles - 466 +28+0+0+0-3+3+12+2+4+3-14-1-3-1-3-12-1-2-12-7+11+3-8+3-9-4+7-9+8+4+9+11
poly_add_cycles - 241 +72+22+18+10-2-5+1-3-6+1-6-3+4-6-2+6+4-2+0-6+2+1+1-6+1-4+3-2+12+1+2+8
poly_sub_cycles - 242 +24+12-4+5-7+9-5+13+8-8+1+1+0-2+0-4-2-3-10+16+6+0+17+17-4-7+10-6-3+1+2-1
sotp_encode_cycles - 369 +43+5+3+7+4-2-6-3-2-4+2+5-1-2+2-3+7+1-2+2-3-14-11+0+3-3-1-6+10+9+7-11
sotp_decode_cycles - 400 +21-5+11+3-4+8+16-5-3+1+5+3-2+2+0-3+2+6-1-6+1+3-3-9-11+10+5-4-6-8-3+7
hash_f_cycles - 12140 +144+475+9+109+11+58-61+20-81-176+12+100-85-52+56-98+21-26+66-81-5-46+7+11-21-47+12-24-50+52+28-43
hash_g_cycles - 13336 +104+0+17-11-13+28-199-4-245-46+2+78-33-74-162-3+66+14-1+16-20+106+10+16+79+5-32+33-34+10-215-240
hash_h_cycles - 3842 +42+46-11-6+4+28-14-26+2+22+14+3+34-5+22+10-38-21-12+8-10+3-2-11-23-10+10-20-34-2+15+25
poly_mul_small_cycles - 3307 +180+51+53+31+25-27-34-26-14+36+44-27+19+8+17+17-19-30-38-18-14+26+30-20+33-15+42+17-38-25-19-48
poly_mul_general_cycles - 3296 +129+72+60+46+99+71+6+10-12+24-12-16+15-1-22-1-14+24-23-26-21+6-25-8+7-34+0-19-4-7+57+3
forward_small_cycles - 1123 +52+53-18+2+22+24+7-10-18-16+1-12+8-33+14-10-25+10-3+6-24-7-16+7+2+12-31-6+16-13+33+15
forward_general_cycles - 1131 +6+7-3-33-19-13+10+19+13+11-8-17+3+6-25-12-18+3-2+8-4+3-2+25+1-23+5-10+11-22-21+3
basemul_cycles - 658 +23-7-10-1-12-12+9-16+3-11-16+19+2+0+16+6+2-6-2+3-3-7-10+6-4+4+6+20+10+6-7-4
basemul_scale_cycles - 563 +19+14+9+5+7-2-1-3-4-5+2+2+0-1-1-1-2+1+4-3-1+3-5+2+1+4+1-2+6-2+5-3
inverse_cycles - 1192 +33+5+2-19-6+40+5+16+0-20-12+1-8-12-8-15+11-12-13+31+5-6-22+3+4+6+3+5-12-6+27+2
baseinv_cycles - 1189 +105+140+18+0-5-3+11+13-11+3+11+4+3-15-31-1-20+1-18-13-33+0-29-13+0+1+19-2+18+64+2-10
poly_frombytes_cycles - 645 +10+9+8-14-16+4+2-8+2-5-3+4-16-8-3-20+5-1+4-7-12+2-4+6-7+5-6+2+6-9+5+6
poly_tobytes_cycles - 692 +8-8+21+6+3+0+11-1-2+7-10+2+9+0-5+13-5+19+12-6-3-8-5-7-11-9-5+12+5-1+5-1
cbd1_cycles - 351 +29+25+20+6+3-8+4-3-9-6-4+15-3-9-11+15+13-9-8+3-7+3+1+2+1+5-2+7-8-1-8+2
crepmod3_cycles - 467 +67+0-3+8-12+4-3-4-7+1+15-1+2+4+7-7-1+1+3+4+2-4+0-1-4+7-1+7-5-17-6-3
poly_add_cycles - 239 +60+4-4-2-1-3+0-4+0-1+3+1-4-2+0-7-3+3+2+6-1+1+6+0-4+4+3+14+9+11-6-1
poly_sub_cycles - 240 +33+4-2+9+0+4+1-6+7+1+3-3-8-7-7-2-6-2+2-2-4+0-6-5+2+2+11+1-6+9+11+5
sotp_encode_cycles - 367 +12+5-4+0+2+6+12-6+1+6+5+6-3-3-2+7-7-2+12-8-9-20-16-2-3+2+6+1+6+2-1-1
sotp_decode_cycles - 399 +19+7-1-6-4+4+12+11+2-4+2-5+7+7-1+4-5-1+3+3+0-13-4-2+6-4-4+4-6-2+0-13
hash_f_cycles - 12121 +64-90-7-64+71+56-35-112-145-191+65-178+16+85+28-151+26-116-24-21+41-163-24+108-154+79+58+80+6+84+36-126
hash_g_cycles - 13362 +111+165-143+12+8+38+74-48-48+33+22-8-68-128-10-40+24-3+46-17+44-140+108+9-49-19-26-18-273+59+8+61
hash_h_cycles - 3850 +53+5-17-36-4-8-1+14+34-30-50+15-22-12-26+27+9+12+19-5+12+2+44-30-26+5+17+9+7-40-11-39
poly_mul_small_cycles - 3328 +139+75-6-5-11+30+2+12-19-2+2+10+32+33-7+6-18-20-68+14-21-9+16+3+25+6-25+12-25-17+4-50
poly_mul_general_cycles - 3313 +102+28+4+34-5+23-15+28+10-11+10-7+29-13+46+20-20-13-23+53-64-13+16+6-40+12-14-3+25-20-13-37
