implementation crypto_kem/ntruplus864/avx2 - 
publickeybytes 1296 
secretkeybytes 2624 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
forward_small_cycles - 1122 +161-4+0+7-4-6-20-24+2-4-13+16-13-1-7+14+6+18+4+27-15-2-4+9-8+9-7+24+12+13-1+7
forward_general_cycles - 1129 +104-2-18-5-17+10-6+6-9-15-23+3+5+0-26+0-8-2+18-4-5+83+4+7+16+3+13+7+23+8-16-9
basemul_cycles - 660 +313+31-8+1-4-9+9+4-24+1-6+8+5+14+1-10-2-6+10+16+14+8-12-12-13+9-19-1+3+18-9-7
basemul_scale_cycles - 564 +93+5-1-6+1-6-1+0-2+3+2-8+0-4+1-4+4+2+0+1+0+3-3+1+1-2+3+3+3-9-4-5
inverse_cycles - 1177 +595+34+2-8+17+13+7-10+1-13-15+15-8-5+7+17-5+10+9-17+11+14-7+14-20-4+7-13-11-5-16-5
baseinv_cycles - 1185 +1275+43-5-2+5+13-2+5+8-1+1+10+0+14+1+5+165-2-10-14-25-14-29-31-11-12+9+14-15+2-8-5
poly_frombytes_cycles - 641 +195+38-1-1+6+13-3+17-5+4-1-13-2-17+2-10+3+2-5+7-3+11-15-5-3-11+1-3+1+1+1+20
poly_tobytes_cycles - 697 +68+23-5+15-13-7+12+5-3+3+10+7-8-3-2+1+7+14+0+5-13-7-14-5-13-3+3-15+0+2+13+0
cbd1_cycles - 351 +140+15+14+13+17+17+11-1-10+1+2-7+1-3-4+1+2-4-8-7-8-7-3+6-6+2-1-3-2+1+0+0
crepmod3_cycles - 463 +241+18-4-3-8-7+3-6+7+8-3+3-16+0-4-2+10+5-8+8+7+0+4-7-9+3+3+1+7-8+0-12
poly_add_cycles - 237 +119+21-3+0+0+5-3+4+1+1+0+8-1-1-1-3+1+2-1-3+0+1+12+6+6-1-2-5+3+8+0+1
poly_sub_cycles - 243 +139+24-3+3-4+5+2+2+9+4+8+0+0-4-4+6-1-6+0+2-3-1-7-1+0-5+4+2+18+0-4-6
sotp_encode_cycles - 368 +131+43+3-2-3-7+0+6-18-3-17-21-14+3-17+0-20+7-3+5-21+5+7+14+4+4+2+7-4+1-3+1
sotp_decode_cycles - 401 +184+1-9-5+8+3-4+2-4+2+1-2+6+2+6-3-4-7+9-12+2+0+0+2-1-9-7-8-1+3+0-1
hash_f_cycles - 12116 +920+59+144+105+102+2-19+74-109+34+12-128-36-149-8-156-35-14+67-187+26+16+1-16+52+229-126-82+67-91-114+4
hash_g_cycles - 13210 +16535+2974+149+256-48+222-117-19-105-112-63+195-95-66-32+110+97+138-32-36-149-38-97-62-119+172-52+250-136+151+125+146
hash_h_cycles - 3816 +392+115+8-46-8-10+2-31+26+0-63-32+26-53-11-1-18-12+90-18-29+42-27+23+9+11+21+40+7+13-39+5
poly_mul_small_cycles - 3319 +473+67+29-17+47+31-32+12+13+32-15+1-12-36+1+8-46-31-2-53-9+35+13-14+15-51-22+1+9-18-7+11
poly_mul_general_cycles - 3309 +166+17-14+7-35+3+11+37+15-29+0+56-19+27-12+18-43-1+4+7-24+4+10-43+27+22-18-9-6-27-15-8
forward_small_cycles - 1130 +19+23+15+18+6+12+1-24-9+3-1+4-32+16+10-19+7-20-26-21-8-13-1+14-26-4+0+9+9-1-4-1
forward_general_cycles - 1118 +34-26+0-19+3-20-1-25+15+7-15+0+5-11-1+4-16-5-18-2+10-1-18+18-21+19+10+34+9+18-6-1
basemul_cycles - 661 +14-9-16-1+12+2-13-11+10+0-2+11-15+2-2+3+0-3-12-2-13+8+14+4+5-9-8+10+5-9+15+5
basemul_scale_cycles - 564 +9+18+11-7-4-2+5-3-5-6+11-4+3-6+0+4+3+9+0+0-1-3+1-4-6-4+7+10+3+3+0+0
inverse_cycles - 1181 +55+43-11-1-1-8+17+21-5-16-3-8-14+8+5+0+1-4+5-13+7-5+10+5+2+2+18-8-13-23+3-2
baseinv_cycles - 1184 +52+6+19+81-15-12-21+8-3+3+0+17-1+5-6+20-30-17-23+6+10-3-6+7-3-25+1-2+0+0+7-17
poly_frombytes_cycles - 644 +26-4-7-19-9-15+1-20-5-2+2+2-5+6+13+3+1-7+2-12-8-1+0-6+2+6+9+3+5+1+5-4
poly_tobytes_cycles - 691 +14+4+7+1+14+10-5-3-10+23-13-7+1-1+7-2-5-7-2-3+8-8-2-4+4-11+11+4+2+0+3+1
cbd1_cycles - 344 +52+50+25+14+10-1-2-1-2-2-4+1+1-1+6+1-2-2-2+6-2+0+5-1+1+6+6+10-3-1+3-2
crepmod3_cycles - 457 +27+9-1+4+9+2+1+4+2-4+3+8-5+5-2-2+0-6+5-10-1-1-10-6+6+0-10+7-4+2-4+0
poly_add_cycles - 242 +44+16-4-6-9-5+4+4-1+1+10-7+2+2-8+2-3-8+7+3+4+7-5+6-8-4+1-9-1-6-10+4
