implementation crypto_kem/ntruplus864/avx2 - 
publickeybytes 1296 
secretkeybytes 2624 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
forward_small_cycles - 1138 +141+8-16+25-24-1+1+6+404+44+15+24-10+2-3-13+4+17+4-12+12-26+7-15+0-3-32-4+5-8-33-29
forward_general_cycles - 1132 +108+22-2+4704+5-13+1+2-2-13+9+14+5+2+1-6-8-4-24-44-12+4+13+4+6+8+8-20-4-31-32-13
basemul_cycles - 659 +390+28-14-10+9-12-12-9-1-12+7-10+19+8+9-13-7+3+16-4-6+11+13+2-15-4+1+15+0+7-13+8
basemul_scale_cycles - 563 +100+29+1-6-4-4+5-6+5-2+1-2+2+5-1+3-3+10-4+3+1+7-5-2-4-1-6+0+0+2+1-3
inverse_cycles - 1176 +607+36-7-15+8+3-11+0+9-16-8-6-1+11+21+20+7-4+17-23-8-6+2+28+1-12-16+11+24+10-17-19
baseinv_cycles - 1185 +1295+69+3+1+16-22-9-1-6-21+9+6-5-10-9-12-15+4+6-1+19+15+126+9+4-18-25+10-14-7+5-5
poly_frombytes_cycles - 639 +186+38+3-8-12+4-7+15+9+16-10-14+2+4-7-1-5+2+15+4+17-3+0-9-3+1+7-3+19-2-5-4
poly_tobytes_cycles - 689 +110+40+9+3+7-13-2+9+20-3+5+16+7+2-4-10-13-12-2-7-9+0+11-5+15-7+7-13-5-8+10-13
cbd1_cycles - 352 +137+14+21+17+11+13-6+8+0+1+0+6-8-4+1+0-10-10-10+1+3-3+1-5-5+3-4+3-3-6-1-2
crepmod3_cycles - 459 +244+29+5+9+10-4+6-6+11-1+1-7+7+8+1-5+3+10-8+12-4-3+2-4-1+0+1-3-2-1-9-10
poly_add_cycles - 243 +201+22+0+0-8-7+4-2+2-9+0-5+2-2-4-1-7+2-9-7+0+3+3+7-4+3+7+4+0+9-6+0
poly_sub_cycles - 247 +138+23+15+17+10+0+5+2-9+4-5-7-1-6-9+4-1-1+15-3+0+1+1+0+1+31-15-4-3-14-4-3
sotp_encode_cycles - 365 +142+56+7-10-5-6+11-11-18-5+3-4-16-6+10+0+7+8+0+5-18-20+1+8+3+7-11+8-13+6-11+1
sotp_decode_cycles - 401 +172+1+4-2+4-3-2+3-3-1+2+6+0+3+2-5-11-9-8-3+8-7+4+0-2+5-9+6-3+1+3+2
hash_f_cycles - 12138 +782+46+58+3-37-68-217-124-132+6+4-11-34-2-12+84-140+3+7-19+18+8+19-4+0-47+60+21-109+494-112+59
hash_g_cycles - 13263 +1054+251+7641+9874+3474+2142-66-144-118-53+362-58+89-141-145-144+159-156-150-103-120+114+150-47-172+120-156+134-135+155-90+112
hash_h_cycles - 3813 +294+58+26-51-85+2-33-22-115+26+54-38+51-90+8-79+40-57-18-33-17-118+40+45+33+18+31+17+37-103-16+5
poly_mul_small_cycles - 3306 +442+107+31+16-4+62-2+51-5+49+31+21+10-25-52-8-14-15-43+0-24-7+0-7+21-6-19+8+12-2+7-9
poly_mul_general_cycles - 3306 +172+16+15+22-7+1+45-32+6-5-16-19+18+67-30-4-4-8+46-25-16-31+0+3+10-11+1+13+38+27-10-10
forward_small_cycles - 1129 +56+33-7+5+0-4-17-1+14-4+5+2+11+1+1+18-6+1+8-13-24+1+11+24+14-9-14+9-15-11-16-26
forward_general_cycles - 1121 +10-8+4+12-11+20+10+33+22-22+9+27+0-6-3-13-15+12-34+8-12-1+35-3+1+16-4-2-5-4-11+19
basemul_cycles - 656 +36+5+0-12+5+7+13-14-6-3-1+2-2-1+12-1-3-6+0-7-4+2-7-8-4+3+5-14+5+12+0+5
basemul_scale_cycles - 567 +18+12+7-4+5-8-7+6+2-9+4+1-5+6+1-9-4-2+5-8+4+5+6+0-3-1+5-4-1-2-1-1
inverse_cycles - 1190 +55+15+13+16+11-5+30-4+21-13-4+17+22+14-6-13+18-8+10+10-22-10-2+5-21-37-23-23-3-20+0-23
baseinv_cycles - 1188 +59+11+83+12-6+3-2+1-7+6+119+7+17+19-5-6-6+4-7-5-10+5+2-4+3-7-15+9-13-17-13+18
poly_frombytes_cycles - 639 +18+6-4-4-8-15+7+0+11-3+19-10-8+4-8-4+8-6+3+12+1-13+1+7+0+2+1-1+8-7+9-2
poly_tobytes_cycles - 697 +13+4+5+8-2+6+1+13-13+15-1-1-12-1+1+1-14-2-8+3-1-17+2+0-10-6-2+3+9+4-2-3
cbd1_cycles - 348 +29+23+16+9+2-8+7+5+10+11-3+0-1-6-4-4+0-7-1+0+1+4-7-7-3-3-6+11+0-6+10+8
crepmod3_cycles - 457 +20+4+7+2+3+1-2+6+5-5+11+3+7+0-6-5+6-1-8-2-12+6-10+1-3+1+4+0-9-5-1-7
poly_add_cycles - 240 +46+20-3-5+2+4-4-1-1-1+10+5+9+5-3+3+1-1+2+2-6-3-1-2-4+2+1-3-4-4+8-3
poly_sub_cycles - 240 +33+12-3-4-1+2-5+3+3+2-4-7+3-2+4-4-6-3-5-5+1+9-5+0+4+9-3-3+0+13+1+3
sotp_encode_cycles - 372 +31+19-7-10-3+5+1+5-9+2-11+8+0+6-2+5+1+0-4-6+0-2-1+1+4+7-3+3-5-5-9-4
sotp_decode_cycles - 399 +26+7-7+1+6+0+3+4+0-7+0-10+0+0+12+9-3+0+2-10+5-6-2+7+3-5-8+1-2+4-4-1
hash_f_cycles - 12145 +204+27+125+5-116+49+25488+23215+7416+4820-32+21-24-136+718+25-209+12-116-50-245-25-203-195+19+38-39-226-217+50-11+1
hash_g_cycles - 13356 +184+56+107-7+58+7-79-165+16-18+8-58-28-2+15-159+9+52-16-39-39-156+10+11+30-212-6+19-217+28-10+0
hash_h_cycles - 3827 +57+0+12+5+37-68-11-30-6-12+20+2+35+3+20-44-12-4-17-42+2+20+19+0-82+38-7-24+28-119+7+14
poly_mul_small_cycles - 3331 +179+49+57+17-2-1+14+25+17+43+4+11+31+41+8-32-42+16-8-22-24+16-13-26-6-27-40-52-64-38-65-3
poly_mul_general_cycles - 3305 +122+29+67+69+28+19+23+16-16-6+11+34+1-16-15-22-8-27-55-54+5-32-3-21-13-1+20+5-59-19+11+4
forward_small_cycles - 1120 +96+38+2-1+19+10-1+17+32+2+25+15-4+2+16-18+18-9+2-2-2-6-2-1+3-18-3-28-6-25-9+8
forward_general_cycles - 1115 +24+32+3-14+0-6-6-12-8-19-7-2+7+9+18+22-6-12+12+9+0+10+5+0+3+0-17-1-23-12+37+26
basemul_cycles - 652 +30+7-9-1+1+4-1-2+19+20+11+29+3+0+3+8-2+15-10+9-5-2-10-3-9-1-3-2-8+19+0-8
basemul_scale_cycles - 564 +17+11-3+7+2+2-2+1-5-5-2-1+5-3+1-1-1+8+2+1+0-3-4+2+5+1-4-9+3+1+0-5
