implementation crypto_kem/ntruplus864/avx2 - 
publickeybytes 1296 
secretkeybytes 2624 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
forward_small_cycles - 1120 +163+14-12+10+11-5-13+14-14-3-8-3+29+11+12-11+23+3-6-3+3-14+0+7-18-17-18+7-16+13+12-23
forward_general_cycles - 1122 +101+54+21-37+1-3+18-20+28-2+22+0+0+0-3-3+1+11+17-7+7-15+2-2+6-10+5-17-8-10+6-9
basemul_cycles - 660 +294+29-15-7-8-12-13-4-9-12-14+1+3+1-4+3-19+8-2+13-7+8+5-14+2+3+6+15+3+12-9+7
basemul_scale_cycles - 564 +97+33+12-3-2+0-1-4+5-4-6+0+2-3+2+2+2-6+5-2+1-3+4+5+5+0-6-2+9-4-1+10
inverse_cycles - 1176 +613+27+44+1+10+10-7+9+30+36-22-19+4-1-3-3-7-10+8-7-10+31+16-8-1+11-16-11-1-2-3+1
baseinv_cycles - 1187 +1418+31-4-2+0+9+5+13+17-12+3+3+20+28-27-9-10-1+104-19-6-22+10+11-6+6-12-13-15+21-11-17
poly_frombytes_cycles - 639 +169+42+4-12+13+0-8-3+4-10-3+8-7+9-6+24+2-2-2+1+10-1-2+11+0+4-4-12-1+1+0+4
poly_tobytes_cycles - 694 +68+5+0-1+4+6+0+1+12+2-3-15+14+15+10-9-5-1+12-6-7-2+7-2-11+0-15+3+2-10-12-11
cbd1_cycles - 352 +138+8+5+16+11+8+18+7+3+7-11+4+0-4-2-2-5-2-3-8-9+3-4-4-4-2+0+2-8-8+4-3
crepmod3_cycles - 462 +285+15-1+5+8+1-1+12-7-17-2+3+2+4-8-2+3+2+0+0-9-2-6-11-1-11-2+2+7-8+6+3
