implementation crypto_kem/ntruplus1152/avx2-gt9x16-wire-h3-pairunpack-serializer-v2-exp017-sc20260831 - 
bytes 1728 
words 1152 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
official_forward_cycles - 1492 +362+96+60+31+46+31+22+15-28-7+13-12+4+25-15+7-13-20+10-8-18-19-10-18-22-40+1435+1323-31+1305-13-47
top_split_cycles - 310 +143+84+58+45+42+10+8-4+21+9-12-2-10-6+4+1-1-7+4-6+14+5-6-3-1-2-3+5+1-7-7-8
gt_forward_full_cycles - 1488 +195+13+43+17-4-25-5-30+21-19-22-27+2-4+3+4-20-13+4+91+24+19+15+13-6+7-1-15+17-15-9-26
serializer_v2_cycles - 690 +92+44+44+4+10+11-13-14+23+10+16-4+4+1-2-18-8+0-18-1-28-14-10-8-9+0+19+0+11+7-16-2
serializer_v2_hash_g_cycles - 18449 +633+163-168-202-121-213-3+45+97+132+87-6+66+49-174+83+68+41-3+55+13+26+88+26-140-97-327-222-344-280-91-223
h4_exact_egress_cycles - 1991 +263+21+1+15-4+8-20+13-1-27-2-2+3-26-8-18-15+1-38+3-14-7-35+11+8+10-18+671+599-10+615+2
official_tail_cycles - 1633 +285+42+12-12+7-5-9-5-25+9+27-11-8-9+0-8+11+5-15+0-10+11-23-2+13-11+25-15+12+7-3+7
official_forward_cycles - 1485 +131+94+64+83+76+13+60+31+33-2+8+22+21+6-5-19-25-14-19-19-20+1+26+6-2-19-30-9-28-10-14-40
top_split_cycles - 310 +55+43+36+29+8+18+19+2-2+6-2+0-4+1-4+7-5+2+11-6-2-6-4+2-5-4-3+15-4+12-10-8
gt_forward_full_cycles - 1492 +143+1-3-3-11+12+13-6-3-19+19-7+31-19+1+8+1+13-31+63+13-18+4+3-4-11+8+6+5-1-45-51
serializer_v2_cycles - 684 +73+39+62+23+5+19-20+9-7-3+0+14+5-7-3-4-5+10-1+22-13-12-7-7+9-2+4-25-16+2-17+2
serializer_v2_hash_g_cycles - 18347 +352+4+352+161+156+161+278+161+114+351-196-125-150-140-137-125-175-176-33+6-146+181-148-124-126-59-214-1+667+236+96+240
h4_exact_egress_cycles - 1984 +65+20+13+17-13+13-8+5-10+4-16-5+10-8-38+9-7+19+21-1-15+9-6-14-4+25-5-9+3-12+3+12
official_tail_cycles - 1632 +56+43+2+23-13+7-13+14-7-12+23+3-4+13-2-14+1-4-2+9+13+5-7-11-12-15+21+16-2-21+4-12
official_forward_cycles - 1484 +137+71+6+71+62+31+44+2+21+7-10-6-4-2+37+1+3-25-33+5-15-30-13-9+21+24-48-11+2-41-4-51
top_split_cycles - 312 +63+33+43+29+37+24+11-7+5+3-8+19-4+9-5-2-1+0-12-5+2+8-3+11-3-6-6+14-3-2-16-8
gt_forward_full_cycles - 1487 +182-4+56-19+1-18+0-18+21-16-22+0-5+22-13+23-19-9+10+129+8-29-12+19+5+10+0+11-10+6+4-32
serializer_v2_cycles - 690 +51+53+22+30+4+16+8+4-6+0-10-14+21-6-8-11-12-6+8+11-10+0-8+5-9-6+4-2-3+6-1-2
serializer_v2_hash_g_cycles - 18367 +271+701+278-123+57+167+205+29+136+266+182+159+136-61+84-162-104+60+153+84-94-218+14-193-169-138-167-166-89-146-148-149
h4_exact_egress_cycles - 1978 +59-13+23+13+13-2-20+34+21+19-7-12-19+17-7+21+0+19-14-17+15+5+1-18+19-18+0-6-17-5-4+6
official_tail_cycles - 1636 +70+45+29+6-15-12-24-5-2-1+4+77-19-15+5-19-11-12-3-9+0+5+6+1+5+14+23-16+5+7-4+0
