implementation crypto_kem/ntruplus1152/avx2-gt9x16-wire-h3-pairunpack-serializer-v2-exp017-sc20260831 - 
bytes 1728 
words 1152 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
official_forward_cycles - 1518 +171+147+33+36+59-10+33-19+101+16-41+20+10+21+6-20-60-74-52-62-43-57-33+0+11-13+1418+1267-70+1326-85-73
top_split_cycles - 310 +76+65+89+36+40+13+9+0-8-8+3+1+1+5-4+7-9-8-2-6-7-5+9-6-2-8-10+18+6-5+2-13
gt_forward_full_cycles - 1485 +182+37+43+21+15-15+7-8-22-15-26+16+23-27-4-2+12+41-17+10-1+11+20-10-12-14-1+1-8+6-8-16
serializer_v2_cycles - 679 +107+60+59+25+13+29+31-10+19-5-15-4+1-6+0-27-1+9-7-3+1-19+10-4-17-15+3+5-7-9+19+7
serializer_v2_hash_g_cycles - 18304 +656+279-5-85-145-97+34-147-103-84-25+43+32-119+2-156-63-48+28+291+123-120-116+221+248+234-19-149+193+204+164+236
h4_exact_egress_cycles - 1986 +56+12+10+8-12+17-14-10-29-25+4-25+2-11+3+10+18+0+33-10-11-14-35+0+17-9-12+612+545-7+673+33
official_tail_cycles - 1643 +277+25+14+3-9+3-3-2-20+5-4+8-8+11+12+14-7-19+15-13+4-20+15+6-13+6-12-3-7-4+12-10
official_forward_cycles - 1493 +158+70+63+47+61+22+31+27+10-3+0-53-14+4-4-6-22+7-38+6-49-27+6+0-21+7-44+2-25-40-26-26
top_split_cycles - 312 +66+49+56+35+17+2+13+1-1-1-8+6-3-10-7+3+2-1+6-3+0+12-1-5+4-4+6-5-10-13-10-8
gt_forward_full_cycles - 1482 +173+25+27-12-3-9-2-8-1+11+30+1+82-12+7+24-7+1-29-15+25-1-3+3+2+8-33+34-12+3-7-2
serializer_v2_cycles - 676 +67+55+60+54+34+20+13-7-1+23+1-6+1-5-12-17+2-7-13-8+12-19-7-26+9+4+0-6+32-14+1+3
serializer_v2_hash_g_cycles - 18532 +26-168-222-360-3-15-71+41-30+7-35-42+13-1+182+84-28-15+54-94+42+63+23+135-96-58-11+70+68+114-31+40
h4_exact_egress_cycles - 1985 +47+0+22+22-2+24+15+18+10+6-26-7-10+9+7-6-18-9-6+9-3+3-5+7-7+5-12-7-21+15-13-19
official_tail_cycles - 1634 +69+26+28+4-32-13-3+3+10+8-2+0-11-6+23+2-1-20+13+2-6+13+0-3+4-8-2-6+25-9+0-11
official_forward_cycles - 1484 +112+79+68+41+25+56+6+4+49-2-3-20-11-6-1+5+19-6+25-6-14-15-13+5-2+13-18+7-19-34-27-51
top_split_cycles - 311 +57+37+53+35+25+12+25-1+2+10-4+1-6-1-10-2+20+3+0-8+1-2-9-5+0-5-1-6-9+1-7+1
gt_forward_full_cycles - 1483 +182-3+21-6-25-20-10-28-10+1+6-1-10+10+22+22+10+11-18+11+3+23-4-7-25+19+0+4-8+10-3-6
serializer_v2_cycles - 687 +61+48+44+24-7+6+2+3-13-19-5+7+22+4-12-1-20-13-25+2-34+13+6-4-8+7+13-2-7-17-28+7
serializer_v2_hash_g_cycles - 18230 +255+403+28+351-22-36-54-40-50-8-2-20-109+295+313+405+305-95+29+33-21-52+92+337+23-111-14+304-31-21-110+14
h4_exact_egress_cycles - 1980 +39+29+20+21+21+70-11+7-24-11-8-7-32-1+29+12-6-3+17-15-24-20-23+3-3+11-20-15-4+5+8+12
official_tail_cycles - 1626 +80+29-9+18-9+17+0+8-13-2+26-1-1-4+8-10-2+0-2+3+20+11+0+18+16+2-3-12+4-18-9-9
