implementation crypto_kem/ntruplus1152/avx2-gt9x16-wire-h3-pairunpack-serializer-v2-exp017-sc20260831 - 
bytes 1728 
words 1152 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
official_forward_cycles - 1513 +110+58+10+141+60+37+21-29-3+3-23+10-8-14+54+0+20-36-43-52-26-14-33+57-29+2+1409+1337-27+1305-45-41
top_split_cycles - 314 +78+47+37-6+16+15+9-5-3-8-7-4+0+0-12+10+1+2+6+2+10-8-8-9-8-7+2-2+7+1-9+92
gt_forward_full_cycles - 1493 +164+26+18-6+25-4-2+2-1+8+10-18-25-4+7+19-5+5+16-3+6+28-8-12-5-19-8-19+5+10-5-21
serializer_v2_cycles - 685 +93+60+55+19+28+3-3-3-3+13-10+7+44-13+0-7-29+5-25+14-26+6-13-16-29-4+0-2+9+0-14+3
serializer_v2_hash_g_cycles - 18226 +623+96+40-15+538+8-90+16+10+307-76+438+0+6-37+39-8+3261-99+242-13+13-13-25+11127-78+325-40-34-39-30-26
h4_exact_egress_cycles - 1986 +258-2+21-2-8+1+13-9+6-20-8+30-8-1-6+0-22-1-28-26-13+7+6+0-17-34+9+692+616+17+660+3
official_tail_cycles - 1645 +525+20+14-7-1-17-18+7-17-10-9+18-9+30+5+16-2-2-8+1+12+15+19+26-13+0-2+3-14-5-17+8
official_forward_cycles - 1480 +153+122+69+12+57+67+40+13+3-6+7-16-9-36-5-17+11-21-19-3+20-13-32-1+3+4-4-34+20-18+29-34
top_split_cycles - 312 +83+51+26+33+24+8+5-4-2+15-3+10+5-3-3+2+1-13-3-8+6-8-11-9-10-4+4+2-12-12-8+87
gt_forward_full_cycles - 1483 +220+45+22-18-1+2-2-7+27-9-15+12-2-1-16+5+8+0-29-12-11+30-16-12+13+19+35-25+7+17-12-2
serializer_v2_cycles - 679 +83+86+79+22+19+13-7-7-20+15-11+25+34+5-3+9+6-8-14-6+7-19-2-28-19+7+0-6-13-5-19+28
serializer_v2_hash_g_cycles - 18341 +374+9-194+234+241+138+186-209+135+180+140+181+212-43-157-129+157-75-118-115-171-172-58-84+138+148-146-91-139-22-167+200
h4_exact_egress_cycles - 1989 +43+27+13+9+17-7+33-1-22+417+15+12+2-15-7-27-27-14-5-10-24+12+9-41+1-1-34+8-4-22+2+6
official_tail_cycles - 1632 +57+14-4+14-8-17-21-1+0+3-21+11-31+8-14+3+7+20+8-9+3+24+3-12-5+3+9-8-1-16-5-7
official_forward_cycles - 1488 +145+68+61+40+6+36+48+15+13+15-29-3-13-26+0-11-2-11+15-4-6+13-26-8+10-2-6-16-3+7-36-37
top_split_cycles - 310 +86+52+38+17+36+44+40-8+5+5-1+3+0-3+0-5+2-5+2-4+7-4-4-10-3+0-6-5-2-5-3+89
gt_forward_full_cycles - 1493 +144+32+5+12-3+7+5-8+9+9-25+5-9-16+8-13+5-19+1+6+0-13-14+5-25+14-14-5-5+9-4-5
serializer_v2_cycles - 681 +92+67+61+28+25+15-11+15+8+14-41+14+26-4+5-13+9-14-11-17-14-9-13-24-5-2+0+20-7-12+4-19
serializer_v2_hash_g_cycles - 18494 +265+117-302+38+89-358-4-337+5+40+32-32+16+18+62-13-15+37+62+28+55+28+597-277-243-277-301-234-362-248-122-237
h4_exact_egress_cycles - 1986 +33+51+28+21-8-6-9+16+5-20-10-4-15-15+2+0-14-12+4-22+23-4+4+31+12-20+5+14+18+12-5-13
official_tail_cycles - 1628 +67+12-2-10-19-4+5+1-10-4-7+0+12+9+2-3-11-10-3+2-10+27+4+18+16+12+2-5+13+1-2+12
