implementation crypto_kem/ntruplus1152/avx2-gt9x16-wire-h3-pairunpack-serializer-v2-exp017-sc20260831 - 
bytes 1728 
words 1152 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
official_forward_cycles - 1505 +154+75+33-25+92+5+72-1-40-17+47-46+34+22-22+31+26+1-42+11-10-52-28-29-36-10+1374+1286-56+1310-34-29
top_split_cycles - 311 +87+37+33+27+52+18+6+14+8+31-2+24+1+1-4-2-12-10-7-5-2-1+1-5+0+1-12+30-12-8-15-18
gt_forward_full_cycles - 1490 +217+31-8+6+2-23+15-34-12+29+27-18+10+22-10-7-12-2-26-18+1-3-2-16+20-1+21+5+16-8-2+15
serializer_v2_cycles - 684 +75+55+52+25+91+28+32+8+13+19-18-26+7-29-11-21-3-17+6+5+9-14-27+7-21-16-8-12-10+16-3-19
serializer_v2_hash_g_cycles - 18255 +291-50-87+632+13+352+156+289+151+308+218+256+170+242+293+29+12-41-116-49-44-76+11-34-32-49-4-40+3-104-42-71
h4_exact_egress_cycles - 1990 +50-2+14+24-2-19+10-3+0-2+12-13-11-31-23-1-19-38-9+7-9+11-1-3+36+11+1+637+574+4+604-19
official_tail_cycles - 1632 +224+4+3+6-7-5+1-13-20-6-10-16+2-2-13-5-3+12+10-4+23-11+9+9+0+4+13+4-13-15+3+8
official_forward_cycles - 1486 +176+68+64+6+24+19+59+44+41+1-24-11+23-7-16+7+6-19-16+0-23-28-10-15-10+11-14-34+30-6+10-43
top_split_cycles - 310 +61+14+32+29+8+36+7+0+3-6-8-1-2-6-9+2+2+0+0+0-8-8+6+0+3-2-5+4-4-4-6-15
gt_forward_full_cycles - 1487 +153-16+43-31+11-2-15+14+3-3+29+10+2+3-14+3+5-15+2-12-32-13+14-1-19-17-5-16+6+3-8+1
serializer_v2_cycles - 676 +82+73+57+26+6+86+26-4+5-3-5-10+10-14+8-14-12-22-5-5+6-13+9-4-14+4+14+3-3-2-13-1
serializer_v2_hash_g_cycles - 18368 +102+301+205+139+135+119+124+218+133+178-201-162+47-197+224+133+33+91+191-139-179-240-218-163-136-143-131-180-104+97-162-154
h4_exact_egress_cycles - 1984 +44+11+13-19-3-3+5+9-6-20+6-2+9+6-2+2-3-22-1+2-22-4-16-5+22+21-17-8+26-9+15+20
official_tail_cycles - 1631 +80+44+2-11-13+0-15-4-5-6+4-6+16-14+15-3+4-5-5+4-4+9-15+19+6-13+6-17+27+3+9+0
official_forward_cycles - 1489 +132+30+83+62+37-14+32-6+31-37-16-20+20-27-31+14-17-34+5-6+26+9+20-11+9-18-40-15-36+402+19-10
top_split_cycles - 310 +72+11+41+32+26+17+6+0-2+2-3+2-5+8-2-4+10-1-2-7+0-9+1-7+2+3-12-3+12-2+4-14
gt_forward_full_cycles - 1481 +216+22+25+0-1-4+7+17-11-9+44+7+6+9-4-19+12-25-4+22-7-4-7-1-11+18+14+12-12-4-4-7
serializer_v2_cycles - 682 +75+49+48+26+15+95+21+27+1-5-1-11-8-12-10-8-13-2+6+19-4-14+4-30-11-14-6-22+10+16+6+5
serializer_v2_hash_g_cycles - 18273 +491-6-71+305+103+256-31+183-78+298+243+243-156-34-128+52-90-54-76-90+42-35-93-101+27-135-17-37+245+198+213+218
h4_exact_egress_cycles - 1987 +55+15+16+4+18-12-7-5+1-16+7+10-32-10-43-10-29+11-21+1-7+8-5-14+14-23+6+0+14+1+12+34
official_tail_cycles - 1632 +82+52+26-19-13+2-10+10+1-11+17+6+10-13-4-8-8-5-5-6+9+2-6+6+18+21-8-13+13+12+22-20
