implementation crypto_kem/ntruplus1152/avx2-gt9x16-wire-h3-pairunpack-serializer-v2-exp017-sc20260831 - 
bytes 1728 
words 1152 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
official_forward_cycles - 1488 +121+86+59+145+66+25+13+45-9+0-41-29+2-4-8-15+33-33-7-23+1+17-35+0-10-15+1392+1366-20+1344-25-9
top_split_cycles - 312 +76+28+34+38-6+4+4-1-10-3-9-1-9+1-8+13-2+7+48+11-8-9-2-5-15+4+6-4+3+3-5-4
gt_forward_full_cycles - 1487 +231+15+40+17+14-13-3+12+14-12-12+1-7+3-6+2+6+2+18-4-10-1-24+5+2-18-9-18-9+5-8-1
serializer_v2_cycles - 676 +104+63+69+67+36+65-4-11-3+23-5-25-10-8-6+3+18-3+10+0-9+2-1-22-6-4+10-7+16-7+25+23
serializer_v2_hash_g_cycles - 18279 +699+304+297+194+212+204+221+188+210+185+68-3-11-65-149-112+200-101-40-95-37-45+180-63-61-65-25-22-106-127+45-17
h4_exact_egress_cycles - 1989 +42+18-31+7-22+16-9-4-10+24-7+8-14-2-16-22-7+9-13+3+5-9+2-11+12-31+11+651+618+9+690-14
official_tail_cycles - 1631 +267+60+8+174+10+26-9-8-7-7-8+17-12+5+6-5+2-3-15-11-7+1-5+24-15-3-3+18+15+15-3+5
official_forward_cycles - 1494 +184+71+77+50+39+64+37+13+62-2-36-7+16-6+3-16-23+9-11-7-26-4-23-11+3+6-3+23-19+5-6-39
top_split_cycles - 315 +57+53+40+13+12+34+8-3+1+1-11+8-14+3-2+5+3-9-4-8-8-10-5-10+11+0-15+10-10-12-7+4
gt_forward_full_cycles - 1485 +233+27+57+4+11-24-8-31-9+13-19+5+3-1-11+10-24+34-14-6-15+14-2-14+30+12+24+18+7-16-38-10
serializer_v2_cycles - 677 +91+44+59+47+0+21+19-10+17-10-14-10-3+3-15-1+0-5+1-7-18-26-26-18-8+4+14-10+10+6+5+27
serializer_v2_hash_g_cycles - 18506 +133-213+96-243+13-185+8+24-55+58-39-17+43+9-361-61-42-322-267+14+22-9+4+65+20+10+13-18+37+48-270-19
h4_exact_egress_cycles - 1984 +34+25+46-7-15-1-1+1-2-7-10-10-20-9-8+16+4+20-5+8+8+3+11+17+12-13-2-8+12-8+7-10
official_tail_cycles - 1634 +78+30+1+146-18+10+5+4-12-17+8-2+5-20+46-14+1+3+3-6-3-12+16-4-7-10-2-3+11+4-3-6
official_forward_cycles - 1483 +115+108+71+42+10+31+58-22+10+1+0+30-3+11-17+6+5-5-2-7-7-12-25+30+14-8-18+0-6-24-25-19
top_split_cycles - 313 +70+47+24+22+29+22+37+3+6+0-5+9-10+0-5-6+5+3+8-8-2+3-11-9-11-5-7+4-13-7-15-16
gt_forward_full_cycles - 1484 +194+11+13+16+20-11+31+17+14+2-6-14+24-11-6-14+5+37-3+17+25-6+19-6-12-19-14-6-9-19+6-8
serializer_v2_cycles - 677 +75+72+61+42+36+111+9-9-12+10-3+9-20+5-11-27+10-11-27-12-15-13-23+3-13+5+20+6-5+2-13+12
serializer_v2_hash_g_cycles - 18199 +174+112-12+164+360-44+90+65-10+83-36-17-51+12-17+345-7-35+81-19-82+105-3+19-46-3-73+41-34+5-19+43
h4_exact_egress_cycles - 1984 +41+9+7-22-8+2+10+15-6-23-7-6-12-7+15-21-8+11+2-6+12-9+2-11-13+10+10+20+16+16+3-31
official_tail_cycles - 1636 +70+46+18+182+16+6-25-17-21-28+12-6+4+5+10-2+12-14+2+0-2+7-7-8-2-1+14+0-6-12+2-2
