implementation crypto_kem/ntruplus1152/avx2-gt9x16-wire-h3-pairunpack-serializer-v2-exp017-sc20260831 - 
bytes 1728 
words 1152 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
official_forward_cycles - 1500 +203+128+21+41-9+45+25-7+0-4-19+19-10+12-27-3+6+16-4-43+24+3-18-42-8-25+1394+1320-61+1340-23-56
top_split_cycles - 312 +81+48+15+11+15+41+0+1-3+0-1+21-6+12-8-2-8-3+18-6-1+3+5-4-4+7+0+5-13-4-6-10
gt_forward_full_cycles - 1487 +176+18+33+2-17+13-18+16+32+11+7-20+17-14+0-16+1+5-2-6-10+22+10+7-12-8-42+2-4-16-3-14
serializer_v2_cycles - 679 +98+48+53+45+0+2+26+20+4-1-23-20-7-9-7+6-25-12+3+5+4+6-11+2-4-16+18-7-18-14-16+2
serializer_v2_hash_g_cycles - 18231 +1272+447+387+310+335+310+306+221+218+17-7+3-85-89-13-55+5-39-121-55-30-60-4-17+33+14-65-44-23+13+4-3
h4_exact_egress_cycles - 1995 +250+16+16-10-9+8-10+7-6-15+4-2+3+20+3-22-7+11-28-19+7-7-5+31-13-27-26+628+628+23+645-15
official_tail_cycles - 1636 +260+23+4-10-3+14+5+4+10-13-17-6-8-7-12-8+6-12+8-9+28-8+18-9+1+26-24-2+14+0+22+7
official_forward_cycles - 1487 +162+118+60+23+84+52+33+46+31+21-17-5-4-23-18-21+22-28-7+9-29-41-21+8+12-1-27+2-5-24-23-49
top_split_cycles - 310 +42+50+41+40+6+45+6-9-8-7-4-2+7-7+0+5+11-7+2+12-1-7+1-3+4-9-6+11-4-12-9-4
gt_forward_full_cycles - 1486 +196-22+19-17+17-11-3+4+13+6+4-19+20-7+15-21+0-3-9+2+4+22+33-19-12-15+3+14+13-21-9-11
serializer_v2_cycles - 681 +78+69+62+37+0+36+9-16+4+21-13-18-6-5-11+1-4-12-13+6-5+9+8-12-16-21+9-10-12+12+5+23
serializer_v2_hash_g_cycles - 18476 +351-215-238-257-216-247-345-240+91+8+64-220-223-256+29+47+37+34+26+67-39-24+54+46-60+69-23+34+20-24-14+139
h4_exact_egress_cycles - 1994 +43+14-1+18+6+16-12-3+5+1-7+14-15+1+13-7+18-19+26-3-10-17+7-5+10-12+10-3-5+0-1-15
official_tail_cycles - 1639 +154+5-10-6-10+11-25-6+5-16-13-7-22+5-16-20-12+8+9-16+22+4+20-17+10+8+5-9+5+0+9+8
official_forward_cycles - 1481 +103+108+32+63+47+57+42+8+18+12-11-43+5-6+11-3-7+7-19-13-23-39+11-42+6-11-8-2-13+2-13-47
top_split_cycles - 310 +70+66+27-3+35+16+11-3+2-2-6-9-7-1+0+3+15+1-5+7-1+0-9+4-8+2-3+3-10-1-14-8
gt_forward_full_cycles - 1484 +179+27+21-28+16+7-21+12-17+7-2+11+6-4-7+23+15-7+7-30+1-5-10+6-19+3-25-21-9-4+21-4
serializer_v2_cycles - 680 +80+62+48+50+36+8+8+24-6-5-10-3+10+7-1-18+1+16-15+5-29-3-11-9-5+2-14+9-6-29-21+3
serializer_v2_hash_g_cycles - 18470 +21-183-337-198-255+78-63+22-2+45-8+35-5+29+50-233-299-207-273-300+51-313+15+57-235+123+57+22+30+253+124-205
h4_exact_egress_cycles - 1996 +43+6+18+2-11+9-3-1+1-19-15-22-7-1+8+1-1-8+12-18-8-32-8+15-5+5+9+21+29+15-7+25
official_tail_cycles - 1631 +53+31-13-14-5+3-8+2-17-30+12+13-13+15+14-5+2+0-18+5-10+18+1+21+9+7-8-7-4-18+15+4
