implementation crypto_kem/ntruplus1152/avx2-gt9x16-wire-h3-pairunpack-serializer-v2-exp017-sc20260831 - 
bytes 1728 
words 1152 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
official_forward_cycles - 1506 +160+74+80+35+75+0-11-13-20+37+67-11-34+20-36-3+10+3-48+32-33-46-8-33-2-58+1411+1320+13+1360-29-9
top_split_cycles - 310 +96+40+60+22+41+14+30+0+10-9-4-3-1-8-6+3+4-4-4+8-6+1-3-4+2+25+1+9-9-16-14-6
gt_forward_full_cycles - 1487 +212+5+36-1+1+21+4-11+23+42-6+13-13-30-7+13-12+2-10-5-9+1+18-3-12-2+22-9-6+9-3+28
serializer_v2_cycles - 686 +73+36+40-1-5+1+18-15+7+12-1-34-2+11+9+5+34-13+9+8-3-14-5-8+0-11-11-2+19-14-21-18
serializer_v2_hash_g_cycles - 18524 +436-154+48+70-35-2+20+7+8-23-9+11+14+28+106+29+29-67-110-61+25-62-33+34-52-42-34-11+40-29-16+67
h4_exact_egress_cycles - 1988 +42+19+14+0+33-25-8+4+2+3-24-25-13+27-16-10+16-14+45+6+17+20-16-12-29-2-18+678+598-6+618-3
official_tail_cycles - 1626 +250+46+6+17+15+0-15+0+5+1+16-1+9-9+18-7-1-5+0-2-10+6-12+7-10-14-6-10+4-5+9-14
official_forward_cycles - 1489 +127+81+41+47+27+44+49+17+33-11-4-8-18-30+4+21-1+6+33+2-25-1-22-4+16-11-20-5-9-6-3-17
top_split_cycles - 311 +137+62+33-4+27+22+24-1+15-4-5+0-8-3+14-3-11+1+8-3+14-5+5-5+2-6-3+4-7-1+2+2
gt_forward_full_cycles - 1493 +189+43+17+0+11-9-9-24+3-21-8-9+13-37+8+3-34-7+8-14-15+22+9+11+13+2-9-2-1-1-10+12
serializer_v2_cycles - 687 +96+48+48+61+4+15+6-8-27-20+6+19-14-15-10+15+27+16+4-19-34-7+4-3+6-14-17-1-1-40+4-23
serializer_v2_hash_g_cycles - 18497 +225-64-102+14+69+92+3-42+18-59-98-71-16-2-5+32+54+39-33+57+38+84+44-23+32+51-2-44-22-6-78-48
h4_exact_egress_cycles - 1989 +90+21+15+25+16+5-19-2+13-6+1+3-6-16-10+3-21-28+62-2-9-13+5-13+32+15-9+10-38+29-9-2
official_tail_cycles - 1632 +218+28+28+6-6+13-10+4-17-12+0-16-5+3+7+0-11+1-15+9-3-3+1+18-14+2+12-5+0-28+1-4
official_forward_cycles - 1497 +144+72+68+33+27+41+16+3-4+0+13+6+6-1-3-7+9+14-22+16-17-14-28-16-47-10-12+4-10-49-21-54
top_split_cycles - 313 +61+74+25+4+23+4+19+2+6-5-3+11-6-1-10-6+0+3-2-9-3-12+2-5+5+4+1-14-11-8-2-10
gt_forward_full_cycles - 1498 +142+2+15-8-2-7+1-2-15+3+10-1-9-20+5+14+4+13-7+2+1-8-27+1-23-23+21+5+6-2-6-19
serializer_v2_cycles - 677 +84+60+67+45+22+22+18-13-18+5-19-13-12-18+1+4+50+30-9+3+5-13+0-11-3+2-8+15-5-12-7-3
serializer_v2_hash_g_cycles - 18309 +279+250-29+190-36-143+246+91+44+13-175+24-30+55-67+49-109+80+415-46-33+142+90-47-104-158-111-93-98+106-184+84
h4_exact_egress_cycles - 1981 +59+11+22+37-4+24-1+2-4+11+27-12-12+8+13+15-5-13+62-4+21+4-10+0-18-10-16-8-6-3+18-26
official_tail_cycles - 1632 +51+28+2+12+6+6-2+8-3+2+3-1-6-15-5+19-3+4+20-2-5+1+6-9+0-13-10-21-1-16-9+17
