implementation crypto_kem/ntruplus1152/avx2-gt9x16-wire-h3-pairunpack-serializer-v2-exp017-sc20260831 - 
bytes 1728 
words 1152 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
official_forward_cycles - 1500 +203+69+75+10+55+25+28-24+0-38-33-31-20+629+13+3+188-47-22+20+15-20-10-14-44-14+1380+1306-37+1372-48-15
top_split_cycles - 313 +67+57+10+18+13+11+8-6-3-10+8-6+2+2-1-8-3-2+7+18+4-5+8-9-2+0-7+4-4-14-12-7
gt_forward_full_cycles - 1491 +218-6+21-16-2+12+33+20-3+5-14+34-1+20-28-4-13+19-7+2-11+4+8-10-12-27+24+13+10+1-13-19
serializer_v2_cycles - 684 +96+51+53+4+88+17-6+25-10+4-18+7-6-18-33+55-13-5-5-9+2-13-16-23-17+4+14+8+21+0-21+4
serializer_v2_hash_g_cycles - 18490 +401+47-28+49+40+29-32+67+101+22-80-259+82-258-266-5-262-9+19+62-56+148-253-255-310-208+96+126+4-31-47+87
h4_exact_egress_cycles - 1988 +39+5+11-6-8+15-8-17+5-2-7-16-6-23-30-27+11+0+3-10-28-2+36+13+14-8-13+657+595+15+669+26
official_tail_cycles - 1632 +398+84+22+30+32-4-3+17+17-9-6-27-13-1+12-7-5+7-18-8-15-1-1+1-20-10+5+6+18+11+6-5
official_forward_cycles - 1492 +106+60+55+21+45-43+35+5+1+11+16+2+18+15+4-25+177-17-28-20-20-39+9-7-19-7-6+6-57-46-38-49
top_split_cycles - 313 +77+45+36+12-3-1+11-1-1-14+0+6-8+3+1+6-6+5-3-16+3+5-14-5+18+6-11+15-10+0-6-2
gt_forward_full_cycles - 1497 +167+19+10-20-6+1-4+12-24-19+8+12+3+20+13-20+26+4+5-9-25-3-9-4+21+3+27-4-9-22+3-31
serializer_v2_cycles - 687 +61+41+47+25+29+56+29+14+13-15-26-23+15-23-14+29+5-6-14+7+6-34+0-17-13+11-3-17-8-3-12-14
serializer_v2_hash_g_cycles - 18518 +368+74+49-15-15-12+27-12-59-4+26-53+24-26-75+106-29-27-23+17+35+51+16+743+37-226-303-279+24+56-338-289
h4_exact_egress_cycles - 1981 +36+20+9-4+0+14+9-6-3-32-13-5+4+1-19+19-11+4-9+2-20-24-2+3+30+2-20-8+4+8-8+13
official_tail_cycles - 1633 +122+55+9+8-11-8-16-6-5-6-7-9-6+1-15+0-16+13+1+39+12+22-6-23+7+8-1-1+0+15+14+4
official_forward_cycles - 1493 +146+64+53+74+42+14+32+4+2-6+17+1-2-37+5+19+177+1-34+3+17-18+0-20-37-25-10-22-31-38-20-36
top_split_cycles - 311 +53+36+47+31+22+13+32-6-8-5-3+34-4+2+1-8-1+4+7-1+3-3+1-7-6+4-5+19-10-5-9-14
gt_forward_full_cycles - 1495 +175+24+47+2-3+4+21-21-4+5-3-18+15+13-2-2-6-25-4-10+3+1+1+1-1+8+23-11+4-16-18-33
serializer_v2_cycles - 684 +56+55+44+21+18+6+34+22-13-5-26-23-25+3-15+26-26-8+12+21-5-14+3-17-9+0+1+1-3-29-2+7
serializer_v2_hash_g_cycles - 18503 +319-257+107+132+208-41-27-1-35+21-7+7-16+1-57+81+71-124-51+6+66-73-33-10+45-27+57+75+18+2+4-44
h4_exact_egress_cycles - 1985 +45+11+32+9+9+6-1+7-7-11-12+5-10-3-8-21+1-13-7+20+3+0+11-2+7-5+1-1+5-24-5+1
official_tail_cycles - 1631 +73+23+24+5+5-4-23-4-9+1+9-22-8-1+2+0-3+17+14-1+6+14+5-13-12-2-2-9+0-3+13+8
