implementation crypto_kem/ntruplus768/avx2-gt32-clean - 
words 768 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
forward_frontend_cycles - 453 +51+18+13-3+4-3-8-9+4+1-3+6-10+2-5+0+4-1-7+3-9-3+2-7+12+2+0+16-5+5+0-10
forward_m_terminal_cycles - 639 +80+30+1+2-13-11+1+4-7-2-14+11-13+20-9-3-19+11-8-15+18-8+7+652-4+626+12-21+617+3-12+11
forward_p_terminal_cycles - 645 +73+12+2-12+31+26-8-14+11-4-4-3-5-4+12+11+4-15-28+2+4-6-12+2+16+0+15+7+12-14-15-7
forward_m_full_cycles - 884 +44+22-3+14-25+36-4-8+2-21-5+8-12+10-7+2-1+11-4+11-11-11-8+18-5+16+10+1-5+30+8-16
forward_p_full_cycles - 906 +43+9+12-11-11-15-24-27+21+5-1-2-17+5+29+12-4+12+38-2-14+19+2+2-21+21-6-2-3-6+29-13
baseinv_j1_cycles - 1207 +431+9+9-2+0-16-7+39+7+0-3-21-2-9-17-1-28-16+16-18+1+4+4-1+1-11+8+2-1+17+4-5
basemul_f0_j1_cycles - 609 +164+12+4-3+1-5-5-2+4-6+29+0-3-3+1+17+17+14+1-2-1-2+2+10+1+0-1-2+7-6+6-1
basemul_general_m_cycles - 722 +141+45+43-13-2-27+9-8-6+16-22+0+28-29+10+0-6+2-19+20-3-12+4-4-9+12-5+9+6-19+6+0
basemul_scale_m_cycles - 631 +117+0+1-1-1+18+3+0+12+0+14+5-1+2+10-1+3-3-2-3+2+0+4-2-1-4+2+1+3-6-3-3
inverse_m_core_cycles - 607 +118+21+7+5-1-11-5-4+4-4+15+4-6+32-4+7-3-3+36+14+9-4-17-2+3-2+10+2-3-9-5-3
inverse_m_tail_cycles - 590 +408+0+16+6+2-7-4-1-7-3-3+4+3+5-12+2+9-7-10-15+6-2-8+6+0+9+9+3+7-13-2-7
inverse_m_full_cycles - 973 +70+24-30-7+1+26+18+4-19-2+14-13-11-4-16-43+15-19-1+1+7-6-4-37+11+0+4-2+19+14+16-18
q24_unpack_m_cycles - 396 +150+19+22-7-5+5-12-14+9+2-13-17+11+5-2-4-4-12+5+20+14+7+5+13-6-16-2-11+1-2-2+1
q24_pack_m_centered_cycles - 420 +24+2+28+9-2+6+15-6-8-10-28-12-1-12+9+0+2-16+23+14-1+2-2+12+5-16-11-1+3+0-7-2
q24_pack_m_lazy_cycles - 489 +160+10+21-2+17+8+8+0-1-3-7-3+10-8-6+7-3+4+6+9+2+1-1-5-3-5-14-1-1+2-13+4
q24_pack_m_highrange_cycles - 486 +32+13+25+1+11+5-4+10-4-10+2-10+10+7-2-3-1-1-5+2+7-1+4-9+2-1-3-15-7-8+11-9
q24_pack_p_cycles - 453 +151+20+33+10+13+8-2-4-5-4+3-5-6+4-6+16-1-6-2-5+1-5+4+5+5-6-8+5-6-3-2+5
q24_equal_m_cycles - 336 +187-1+1+15+16-1-2+1+2+2-1-1-2-10+0-1+6-2+4+0+6-10-11+9+1-1+0-1-2-6+1-13
forward_frontend_cycles - 456 +33+16-5+3-10-10+5-15-10+7-5-2-8+5+8-14-4+2+3-3+11-6+3+1-6+0+10+8+3+5-1-9
forward_m_terminal_cycles - 637 +45+3-10-23-14-1+3-4+12-1+7-1+3-12-7-1+8+25-12+10-15+0-2-12-2-7+10-11+2+6+2+3
