implementation crypto_kem/ntruplus768/avx2-gt32-clean - 
words 768 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
forward_frontend_cycles - 458 +42+9+13-4+6-5+20-16+5+2+7-6+0+1+0-5-3-1-12-4-2+3+11-9-10+11-6-10+5-6+8+6
forward_m_terminal_cycles - 641 +61+42-4+19-3+32-4+10-15-11-4-2-23-9-11-3+15-17-7-31-13+8+15+617-4+583+22+1+605+4+14-22
forward_p_terminal_cycles - 649 +69+33-2-11-6-5+1+6+17+6+5-4-9-14-6+16+0-2-2+19-20-1-18-17-6+9+3+6+0+24+17+7
forward_m_full_cycles - 890 +82-15-11+3-4+24-2-4+10-10-4-6+12-21+7-26+24-16+19-2+7-14+7+0-7+5-12+14+2+21-12+364
forward_p_full_cycles - 908 +83+10-5-13+23+2+27+13-6-5-6+23+16+13+9-24-18+4+14+13-12+34-5-5-25-7-6+2+14-18+1-12
baseinv_j1_cycles - 1205 +401+12-1+18-3+9+6+10-9-1-8-4-3+3-2-8-15+1-2+5+11-5-3+10-9+8+4+1-2+17-2+1
basemul_f0_j1_cycles - 612 +162+19-2+10-5-3+9-8+2-1+10-2+6+12+1+14+2-6-6-6-4-1-6+21+0-1-4+1+20-5-5+32
basemul_general_m_cycles - 715 +138+58-16+3-9-11+28-2+5-1-7+6-2-4+1+10+1+13+1+10+2-16+8-2-5-3-12-1+14-8+9-1
basemul_scale_m_cycles - 632 +109+32+1+20+8+3-4-7+1+2-4+3-3-9-3+1-5-1-5+1+2+1+5-1+3-2-4+4+3-4-4-3
inverse_m_core_cycles - 615 +84+15-10+13-3-10-12-2-4+8-14-6-17+4+8-19+13+10-8-5+9-4+13+8-31-7+12-20+6+18+9-9
