implementation crypto_kem/ntruplus768/avx2-gt32-clean - 
words 768 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
forward_frontend_cycles - 454 +45+8+0-14+1+3-2+3-9+10+5-4+5+4-4-7-1+5+5-6+7-1+7-11-2-2+2-9+0-4+3-6
forward_m_terminal_cycles - 638 +104+13-15+0+2+1-7-16-1-4+9+28-8-21-6-20+0-1+9+0+20-7-1+825-5+597+9+7+615-11+1-11
forward_p_terminal_cycles - 648 +66-3+4-6-6-5-10+19+1+7+7+0-16+0-6-17-3+0-1-1-1+0+0-21-8+5+3+1+6+3+10+6
forward_m_full_cycles - 888 +72+22+7-4+18-10+2-7-1+7+4-2-2-8-4-11-12+16-25+0+9+6+2+19-7+4-2-21+5+2-7-20
forward_p_full_cycles - 902 +46+37-22+12-11-11+16+0-10-7+9-47+11-7-6-46+11-21+2+16+3+23+35+11+2-13-17+5-13+12-1-28
baseinv_j1_cycles - 1202 +319+13+3+10-3-5-15-14+0-1+24-3-7-7+3-13-6+20+7-8+3+3+20-7+0-11-5+7+2-3+5+31
basemul_f0_j1_cycles - 621 +144+12-5-16-16-13-14-18+10-10+15+0+3+10-6+1-8-1+3+10+1-8+4-5-8+3+40+5+7+6-10+1
basemul_general_m_cycles - 717 +158+76+9+10+10-3+7-8-11-2-8+3+0-16-3+14-13+20-5-4+14+0+12-6-4+20-6+5-1-21+9-7
basemul_scale_m_cycles - 631 +124+47+7+2-3-2-4+14+13-4-1+1+18-1+4+1-3-3-5+0+2-2+0-4+4+10-4+0+0-1+12+6
inverse_m_core_cycles - 618 +124+20-2-2+20-15-20-9-13+16-13+2+3+0+11-8+56-13+1-25+9+1+7-7-26+9+6+7+2-5-3-21
inverse_m_tail_cycles - 585 +420+4+0+11-3-6+8-4-5+3+0-3+19-6+5-11+1+6+7+0+0+3+5-1-5-1-5+4-1-3+1+15
inverse_m_full_cycles - 972 +49+17+8-4-8+18+19-11+0-12+1+20-16-13-27+6-5-15+47-8-27+24+2-1+29+1-14-11+27+12+3-2
q24_unpack_m_cycles - 396 +167+26+33-8-9-7-4-13-9+4+2-13+3-5-13-9-6+7+5+9-6-1+12-2+6+1-12+23+10+20+22-3
q24_pack_m_centered_cycles - 417 +26-2+37+1+13-8-3+6+13+21+22+3+7-10+6-9-5+2+8+0-2-7+7-9-15+2-10+0+1-6-2-16
q24_pack_m_lazy_cycles - 486 +153-1+12+2+6+3+10+13+1+2+2-2+4-13+0-4-10-10-8+9+1+5-5+5+7-4-2-4-7-11-1-7
