implementation crypto_kem/ntruplus768/avx2-gt32-clean - 
words 768 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
forward_frontend_cycles - 458 +45+18-8-4+10-4+4+2-8-3-8-16-8+2-11+0+2+3+1+9+3-3-10+3+1-4+6-2+5+5-1+1
forward_m_terminal_cycles - 637 +60+15+4+1-10-5-1+11+1-14-10-24-14+4-3+8-8-17-14-2-3+3-1+674+9+612-11+2+614+4+1-5
forward_p_terminal_cycles - 645 +81+33+29-3-10-14-8+16-3-4-16-3-12+8+3-1+5+0+9-13-15-2+5+12-5+2-13+4-2+5+22+14
forward_m_full_cycles - 892 +66+0-10-25-13+14+4-15-5+8-9-19+0-16-20+20+1+2+20+3+32+8+13-15-29+15-15+10+0+33-16-4
forward_p_full_cycles - 900 +77+9+7+3-20-5+0+2-23-6-24-10-4-21+4-7+4+1+21+2+9+4+17-13+33-18-5-16+4+0-19+29
baseinv_j1_cycles - 1205 +310+9+13+2+17+3+2-3-13-1-15+6+1+3+4+4+2-5+3+11-5-17-11-7-18-14-11-1+2-6-7-5
basemul_f0_j1_cycles - 613 +179+36+20-8-5-10-9-7-3+2-4-1-4+3+8-1-3+5+5-2+0+18+1-2-1+8+19-2+0+17+6-2
basemul_general_m_cycles - 715 +139+57+16+0+15-23+0-9-4+8-3-3-7-7-3+10-3+6-16+21+6-21+2-2-2+15-13+0+5-14+24+2
basemul_scale_m_cycles - 635 +122+38+3-8-8-5-7-2-9-1-9+7+6-9+0-1-6+8-2+13-2+1+2+6-1+3-6+1+1+0+1-1
inverse_m_core_cycles - 613 +135+21+10-3-15+2+2-8-22-9-17+8-7+9-4-12+10+10-2+20-5+24+0+12-11-18+27-9+11-3-13+8
inverse_m_tail_cycles - 588 +434-2+19-9-1+5-1-1+6-4+21+4+7-5-7-17+1-5+4-12-14-4+8-5+9+9-13-1-5+16+9+10
inverse_m_full_cycles - 971 +68+26+9+1-32-12-31-7+5+15+4-22+4+27-4+34-13-6+21+3+5+0-14-18+32-4+16-2-4-7+12-17
q24_unpack_m_cycles - 396 +152+28+23-4+2-11-12-20-5-7+15-10+2-1+3+0-4-13+3-3+16-10-3-7+3+1+25+29-8+25+32+30
q24_pack_m_centered_cycles - 420 +42+12+17+1+12+11-4+4-2-8+2-14-7-9-1-11+12+8-21+3+2-3+2-13-3+3+17-13-6+4-5+4
q24_pack_m_lazy_cycles - 488 +112+3+11+3-2+2-2-2-7+4-5-7+1+2+1+11+8+14-1-10-3-1+6+1+10-3-14-2+11-2-1-11
q24_pack_m_highrange_cycles - 486 +33+0+6+3+6-2+4-9+10-14+3+5+6-9-1-2-10-1+2-8-2-2+7+0+9+13-3+8+1-5-8-17
q24_pack_p_cycles - 452 +160+33+35+10+9-4-4-9-9-10-8-2-1-3-7+0+1-2+12+0+10-1-10+5-8-8+0+4+15+14+10+11
q24_equal_m_cycles - 338 +144+23+9+3+12+9+1-3+0-3-4+10+3-5+12-3+3+1+4-7+5-7+2+78-19-15-16-17-6+4-4-6
forward_frontend_cycles - 457 +26+15+5-8+6-7-2-7-10-10-11+7+4-5+0+2-5+0-6+0+0+5-5-5+2+2-9+10+4+4+6+1
forward_m_terminal_cycles - 631 +47+50+21-6-11-1-2+5+14-2-4+10-4+5+12-10-6-10-1+22-2-17-6-11-12+35-11+7-19+16+13+5
forward_p_terminal_cycles - 650 +30-20+27+37-21-17-9+18+5+4+22-21-14+9+0-1-15-9+10-19-13-1+6-7+4+9-8-6+20+9+14-4
forward_m_full_cycles - 886 +31+12+3+15-13-11-10-12-23+3+4+1+5+17+0-14+34-10+7-10+2+5+18+6-11-21-14-4+9-9-15+20
forward_p_full_cycles - 902 +32-2+21-4-26-10-8-17+5-12-5-4+14+6-1+32-6+12-31+5+9-14-5+6+16+10-6-14-24+4+8+9
baseinv_j1_cycles - 1196 +39+18+9+12+7+9+2-2-12-9-10-6-6+9-3-8-4+1+1-3-12+3-8-10+0+12+10-10+21+10+9-14
basemul_f0_j1_cycles - 620 +25+13-3-5-8+13+0-4-17-8-14-3+17-13+8+0+14-5+18+0+20+22+9-5-7+1+6+6+2+9-12-10
basemul_general_m_cycles - 720 +68+78+53+59+14-11-3+4-12-2-16+15-4-11+4-5-14+30-6+17+7-4+10+9-8+7-21-5-4-14+6-17
basemul_scale_m_cycles - 634 +49+14+12+23+3+4-2-6+0+1+3-8-3-7-7+4-5-6+9-6-3-2-5+6+1-1-4-3+0+0+1+2
inverse_m_core_cycles - 616 +18+15+2+13-26-9-20-8-2+9+3+23+6-9-5+1-11-4+16+13+3-10-14-15+3+37+12-17-1-5-22+23
inverse_m_tail_cycles - 592 +108+10+8+0-21+2+1-12+2-12-12-24-2+3-4+5+6+12-7+14-4+4-1+2+12+8-16-8-30-12+10-4
inverse_m_full_cycles - 970 +26+2+23-4+21-12-17+12-3+0-9+22+0-20-14+17+21+0-1-3-14+21+18+32+15+0-1-14-8+4+5-4
q24_unpack_m_cycles - 398 +34+20+17+5-11-8-4+53-21-9+9-18-15-6-3-9+5+6-11+7-7-18-14+18-8+7-7+13+11+21+14+21
