implementation crypto_kem/ntruplus768/avx2-gt32-clean - 
words 768 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
forward_frontend_cycles - 455 +51+24+13-4-8-7+0-4+0+0+0+9-6-4+2+13-4+5-8+13+1+5+1-4-4-1+6-9+1+4-9+5
forward_m_terminal_cycles - 633 +82-1-1+0-8-10-14+5+3+4-5-10+0+11-4-2-14+19-1-9-2-2+10+620-1+624+5+20+576+14+7-4
forward_p_terminal_cycles - 648 +68+0+12+8-7-13-1-2+1+16-24+9-17-7-4+3-8+4+7+8-2-4-20-11+0+19+6-2+9-6+1+12
forward_m_full_cycles - 884 +95+5-10+12+4-11-14-17+37+3-18-14-31+9+6+4+12+32-4+34-7-13+4-1+19-10-1-18+5-21+8-9
forward_p_full_cycles - 902 +65+16-7-5-12-4-4-8-6+3-3+7-7+12+0+23+13+12-17-8+12+1+0-5-11+11-4+12+4+9-8+12
baseinv_j1_cycles - 1200 +373+9+1+5+0-3+8-1-11+5+0+4-7-9+14+3-2-16+1+4+0-2+8-2-8-10-2-11+8-9+10-10
basemul_f0_j1_cycles - 614 +144+23-1-10-5-9-7+19-9-4-3+15+9+3-1-2+0-5+18+13-1+18+4+4+0-6-4-8-7+27+8+6
basemul_general_m_cycles - 722 +138+39-4+4-11-17+24+11+3+0-22+24+5-25+4-8-2+7-1+5-3-13+15-2-6+7-20-4-3-16+8+4
basemul_scale_m_cycles - 634 +120+31+11+7-5-5+0-6-1+6-5-5+14+13+1+1-7-5+9+3+1-5-1-1+7-1-2-5+2+5-7+3
inverse_m_core_cycles - 615 +116+13+22+9-17-1-10-10-8+4+7-2+1-8-9+9+0-14+18-5-10-10-4-9+4+4+4+12+3-17+6-4
inverse_m_tail_cycles - 590 +411+8+10-13-9-7+14-7-2-4-2+6-1-9-6+0+3-7+3-8-6+10+3+1+8-2+15+62+23-9+1+15
inverse_m_full_cycles - 980 +104+13-22-23+0-2-28-10-29+6-16+17-10+0-14-1+5-4-22+5+18+0+12+9-4+48+63+61+14-16+24-16
q24_unpack_m_cycles - 402 +148+17+25+0-16-15-23-21-24-13-21-20-5-2-12-3+10+2-4-5+6+44+8+8+4-19-5+12+22+25+10+12
q24_pack_m_centered_cycles - 421 +48+20+25+3+3-3-5-22-7-12+12+16-3-13-4+2-11+3+4-3-12+3+8-3+2+9-5+1+13-11-1+4
q24_pack_m_lazy_cycles - 488 +99+10+19+2+2+5-5-2-13-11+7+2-12-1+0+12+8+11-8+3-2-5+0-4+0-2-7-8+1-17+10-7
q24_pack_m_highrange_cycles - 487 +49+12+10+2-2+5+7+3-6-3-7-3+12+1-10-12-12-7-4+12+8-5+2-7+2-6-15-1+3+7+14+7
q24_pack_p_cycles - 456 +157+23+43+26+14+5-6+7+7-3+4-6-2-3-4+2+2-4+6+0-4-3+12-2-9-14-2-1+3-9-15+4
q24_equal_m_cycles - 336 +149+24+15+13+11+6+5+15+15+2+8+15+16-9-8-6-14-10-14-14+4-5+1+6+3-19-7-15-20-12-20-12
forward_frontend_cycles - 456 +12-8-16+1-8-15+1+12-3-2+17+5+2-2+7+4+15+10-5+18-1+0+2+2-12+9-8-6+0-3+6-9
