implementation crypto_kem/ntruplus768/avx2-gt32-clean - 
words 768 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
forward_frontend_cycles - 455 +61+8+15+12+0+2-6+5-5-1-6-5+2+12+5-2-11-4+4-2+7-5+4+5-3-14+4+0-6+50-5-1
forward_m_terminal_cycles - 638 +74+29-17-1-16+35-17+0+6-8-9+19-12+4-8-10+12+19-7-13-1+8+8+667-13+613+11-5+629+2-15-10
forward_p_terminal_cycles - 651 +62+7+5-4+3-29-22-22-15+9-7+9-3-1-24-17-1+16+18-5+2+3+14+13-1+7+20+6-26-3-6-30
forward_m_full_cycles - 886 +56+0-4+12-6+13-15-14-6-16-1-13-12-2-3+16+16-9+8+7+12+10+9+1+3+2-1-3-9+3+2-9
forward_p_full_cycles - 902 +44+16-3-2-8+2+2-3+15+7+27+15-15-21-19+21+34+12+0+23+8-7+9-25+3-21-11-7-8-4+0-12
baseinv_j1_cycles - 1202 +295+17+7+15+9+0-3-6+5+2-12+11-2-3+0+2+8-5-20-13-12+14-16+0-18-2-12+5-14+4-5+6
basemul_f0_j1_cycles - 609 +169+24+12+0+0+12-2+2-3+0-4+7+1-3+2+8-3-3+0-5+4+2-2+21+7-2-5+4+3-3-5-2
basemul_general_m_cycles - 720 +149+27-10+3-1-24+14-15-9+24-13+9+16-8+13-5-2+18-1-7+7-6+5+3+2-18-18-5+10-21+19+6
basemul_scale_m_cycles - 633 +110+18+3-9+2-3+5+1+0-3+0+5+5+2-4-5-3+8+0-4-6-7-3-4-3+6+0+6+3-4+2+3
inverse_m_core_cycles - 612 +143+0+46+18-4+35+0-17-18+0-7+8-20+5-6+13-11-7-2-11-7+6+12-13-9+20+5+18-6+22+15-13
inverse_m_tail_cycles - 583 +374+16+10-3+9-13-2+2+10-6-8+5-3-13+8+3-4+9+1-9+4-5+3+9-1+0-3-3-12+7+0-8
inverse_m_full_cycles - 979 +41+14+7-18+7-27+12-13-14+23-33-4+22+13-8-12-10-1-33-1+5+22-8-36-3-8+15-11+17+25+3+21
q24_unpack_m_cycles - 394 +155+13+10+1-2+0-13-14-12-4+0-9-15-14-18-12-7+4-7-2-3+15+23+25+15+25+21+29-1+29+25-4
q24_pack_m_centered_cycles - 424 +33+13+8+13+10+7-10+1-7-4-12+1-1+10+7-2+3-13-15-2-20-4-11+6+1+0-8+9+0+13-16-5
q24_pack_m_lazy_cycles - 483 +178+4+17+7+0-1-4+11-5-6-3+6+6-10-3+4-3-14-1-3+7+4-7+11-2-5-2-1+8+9+0-11
q24_pack_m_highrange_cycles - 478 +34+12+21+8+7+5+2-5-1-6-7-2+15+9-8+3-4-13+5-1-2-6-4-8-1+0+3+6-8-11+7-7
q24_pack_p_cycles - 455 +145+7+28+14+10+6-5-1-7+6+3-10-2-4-5-2+2+1-5-1-4+3+7+15-18-14+3-7+4-2+7-3
q24_equal_m_cycles - 335 +135+5+23+11+9+5+3+2-6-16-5+0+0-12-7-5-15-1+1+9+3-2-8-4+10+1-21-10-6-5+10+3
forward_frontend_cycles - 457 +27+5-1+11+5-1+1+1-9+2-3-4-1+4-7-7-2-14-4-6+13+8-2-9-3+2+6+11+0+57+12-3
forward_m_terminal_cycles - 631 +45-2+0+3+1+44-3+0+9+0+13-2-15-2-12+36-1-10-3-15-2-1+19+10-7-5+4+38-9+11+19+7
forward_p_terminal_cycles - 648 +31+1+10+13-4-8-15+24+1-6+11-15+0-4-15+0-3+1+9-6+31-3+4+8+25-17-2+12-1+3-17+9
forward_m_full_cycles - 884 +62+12+7-7-14+4-5-22+9+8+7-22+0-9+5-6+0-5-16-5+20+8-8-1+7-2-8+16+2+8+1-9
forward_p_full_cycles - 905 +16+29+29-16+12-14+2-5-19+15-5+21-21+6+27+25+9-9-5-20+29+4-22-19+2-7-3-6-2-2+8+2
baseinv_j1_cycles - 1200 +133+9+9+8-3+8-8+0-12-15+6+2-14-4+13+9-17+0-3+1-1+1-5+3-3+18-3+5+15+9-4-22
basemul_f0_j1_cycles - 608 +80+9+8-2-2-3+12+20-3-3+6-2+2-3+1+5-2+12+19-3-2+4-3+3-3-5-4+0+8+23-1+0
basemul_general_m_cycles - 715 +81+51+16+9+1-16-5-5+0+5+9-3+4-8+10+15-3+8-17+14+16-15-2-4+5-2-9+6+0-18-4-9
basemul_scale_m_cycles - 632 +24+18-6-2+3-2-1-3-5+7-3+2-2-6-4+5+5-3+5-1-2+1+0-5+10-2+6+17+9+10-4+16
inverse_m_core_cycles - 613 +15+7-3-23-5-1+1-4-1-8-16+12-18+3-17+32+0+6+4-26+1+21+21-31+1+12-2+6+16-7+0+17
inverse_m_tail_cycles - 588 +105+18+9+8+4-1-9+8+6+21-4+1+8-13-17-3-7-5+4-5-2+1+0-2+6+10-9-9-17-7-14+4
inverse_m_full_cycles - 967 +27+30+5+7+32-26-20-9-2-7-4-1-12+1+11+27-18+23+11+11+4+23-10-14+17-13-11-10-5+10-18+3
q24_unpack_m_cycles - 399 +32+19+18-9-9-1-5-4-7+0-14-4+9-3-2-21+8-11-13-4+0+11+5+10+8-9+5+6+7-5+25+4
q24_pack_m_centered_cycles - 417 +11+20+18+13+9+0+2-6-10-6+3-7-7+9-14+6+3+9-9+2-13-3+7+5+6-8-1-6+12-3-14-4
q24_pack_m_lazy_cycles - 488 +15+4+2+7+1-8+14-8-2+4-6-1-3+8-7+2+2-9-4-4-5-1+4-2+1+9+5+4-8+1-1-8
q24_pack_m_highrange_cycles - 484 +13+16+14+8-3+1+13+12-1+2-5+6-6-13+0+1-11-4-3+0-12+12-2+10-5+1+5+4-7-8+8-14
q24_pack_p_cycles - 452 +41+22+29+11+15-1-2+0+6+0-8+1-10-16-11-2-13-6-2+3+12-2-3+10+6-7+15-1+12-6+1-1
q24_equal_m_cycles - 336 +42+15+11+6+10+9-2+6+1-7+2-2+0+3+2-8-12-9-17+7+3-3+5+2-9-6-21-17+0-2-6-12
forward_frontend_cycles - 456 +35+5+5-9-1+4-7-11-1+1+8-1-2-14+4+7-3-9+24+1+11-8-7-3+9-5-3+1-4+66+2+7
forward_m_terminal_cycles - 637 +86+17+4-10-4-11-3-4+5+10+13+13-1-12-7+20-11+19-12-5+1-8-6+8+10-3+9+22+22-2-22-5
forward_p_terminal_cycles - 649 +49+23-14-18-22-8+6+18-2+23-1-16+1-21-5-11+7-1+6-12-9-2+2-2-20+3+17-9+2+18+7+7
forward_m_full_cycles - 887 +20+23+12+13+2-21+12-4-13-11+6+12-9-14+2+11-5-10-16+19+6+29-3-3+4-8-4-3+5+0+6-20
forward_p_full_cycles - 903 +4+17+30-8-4-24+4-6-11+2+35-17-5+13+10+9+17-10-20+8+15+27+20-6+0-10+1-28+3-19-2-15
baseinv_j1_cycles - 1194 +116+11+2+3-4-1-11-10-8+7+3+1+11-1-1+3-5-11-9+1-7+4+3-9-18-8+19-2-1+8+12-4
basemul_f0_j1_cycles - 608 +109+16+6+7-3+0-1-4+0-3+0-1+7-1-2-4-1-2+0+3+5-3-3+5+0+7-4+2+11+19+7+15
basemul_general_m_cycles - 718 +82+76+16-8+3-17-5+20+11+4-11+2+10-19+2+4-9+7-17-9+5-21+16-10-6-2-17+4-6-18+2+6
basemul_scale_m_cycles - 633 +34+22+21-7+1-6+10-7+10-5+4-6+1+0+4+0-5-1-1-5+1-4-2-5+5+1+12+4-3+3+1+6
inverse_m_core_cycles - 617 +34+15+2+0-32+0-27-9-7+3-12-17+10-18+12-4-8-5-1+29+0+14+1+6+18+3+8-4+11+13-7-5
inverse_m_tail_cycles - 584 +129+27+16-12+7-7-7-4+6+6+10+1+5-8+7-8-5+9+3-1+0-10+1+13+3-3-2-4-7-3+0-12
inverse_m_full_cycles - 979 +13+7+17-1-17+4-39+18+2+0-39-21-32+19+30+21+24-3-4-12+13+16-9-23-38-8-7+26+21-23-11+18
q24_unpack_m_cycles - 398 +30+24+18+6-7+2-18-17-22-4-14-17+6-9-7-4+12+3-29+15+0-5-15-10+2+10+3+8+3-2+25+11
q24_pack_m_centered_cycles - 423 -2+8+10-5+0+0-9+8-5-3+1+10+12-21+11-9+1+5-2-16-15-23+6-2+9-3+10+6+11-2+5-6
q24_pack_m_lazy_cycles - 490 +8+6+18+3+2-5-2+0+5+8-4+0-1+4-1+2-10+3-1-2+10-4+3-6+2-11+11+2-2-1-8-25
q24_pack_m_highrange_cycles - 482 +4+13+13+10+6+2-4+17-1-1-6-5+4+6+0-5+9+6+3-3-6-4-3-1-8-3+0+3+6-6-2-13
q24_pack_p_cycles - 453 +36+30+51+13+12-1+2+2+2-1-5+3-10-5-2-10-3-1+4-12-2-10+0+0-11-4+7+10-9+3-18+5
q24_equal_m_cycles - 334 +41-2+21+8+9+3+2-7-2-4+7+3+1+1+4-3-2-2+5-16-10+7-4-16-25+5-1-7+1+2+4-12
