implementation crypto_kem/ntruplus768/avx2-gt32-clean - 
words 768 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
forward_frontend_cycles - 455 +32+12+4+0-9-9-4+14-12-8-11-2+2-11+2-5-7+3+2-7-9+2-9-13+17+11+7+8+2+406+25+14
forward_m_terminal_cycles - 639 +71+9+20+11-1-5-19-9-27-12-15+14+3-1-13-14-7+18-21-9-1-3+1+659+19+607+15+3+605+3-6+0
forward_p_terminal_cycles - 643 +63-11-9-1-5+6+4+4+7-20+8+21-7+11-11+16-10-15+0-16+22-8-4-7+6+8-8+10-1+5+2-7
forward_m_full_cycles - 889 +62-4+14-22+5-1+8-24-11+35-28+6+2-6+14+3-7-14-26-4-15+18-6+5-12+21-5+10+7+4+3+0
forward_p_full_cycles - 902 +66+24+0+9-15+1+0-3+4-15-14+11+3+11-15+5-9-3-7+6+22+19-18-23-7+23+10-15-37-5+3-1
baseinv_j1_cycles - 1196 +379+31+15+12-5-18+5-1-3+0+4+0+4+0-3+9-10+7+2-8-1+0-2-3+2+7-6+10-5+14-14-24
basemul_f0_j1_cycles - 614 +136+20+10+4-2-3+2+2-2+0+10-5+12+15+8-8-3+14-6-10+1-8+6-2-8-3-7+10-6-2-2+11
basemul_general_m_cycles - 716 +134+61-5-9-2-19+5-11-9+13-16+9+4-10+5-2-1+19-7+6+17-12+17-16-5+4-20+9+1-7+19+3
basemul_scale_m_cycles - 629 +114+18-2-1+1+6-2+2-1+8+0+0+1-1+0+2-1+5+0+4-1+0+2-2-5+0+8-3+0+6+1-1
inverse_m_core_cycles - 610 +121-9-6-19-1-1-12+19+14+4-13-1-17-4-11+31+0+7+17+5+13-17+12+8-4-4+8+1+19-11-27+31
inverse_m_tail_cycles - 588 +422-6+1+4-2+3+6-4+5-5-11-7+11+11-8+14+3-8-1+3-1-4-5+9+4-12+0-17+7-5+11+1
inverse_m_full_cycles - 970 +57+64+19-2-17+0+6+8-3-2-20+4-4+3-18+1+43+27-8-13-31-15+19-5-11-2-35+12+10+14-1+2
q24_unpack_m_cycles - 396 +145+32+38+10-13-14-16-16-16+0-16-7-1-5-20-7+8+4-8+4+14+13+5-11+1-15-8+4+11+18+13+27
q24_pack_m_centered_cycles - 422 +19-8+20-4-8-12-10-8-6+10+2-1+1+5-5-4+1+7+0-2+10+6-5+0-9-4+16+1+3+0+7+3
q24_pack_m_lazy_cycles - 485 +128+4+19+18+8-4-9-3-1-5-2-2-9+3+7+1+10+18+8+13+6+11-5-1-2-11+6-4-4-4-5-2
q24_pack_m_highrange_cycles - 482 +37+14+13-1+8+7+1-1-12-4+3-1-5+2-2-5-7+2+2-3+6-3-7-11+6+4+4+2-2+9+0-2
q24_pack_p_cycles - 451 +147+34+50+6+8-5-12+7+7-6+2+2-3+0-14+8-5-6-8-1-5+0-7+5-5+5-3+10-3-11+7+13
q24_equal_m_cycles - 337 +138+23+10+9+8+2+0-6+16-2+5-1+5+4-3+2-6-1+3-4-6+0+5-5-13+2-18-10-11-1-2+0
forward_frontend_cycles - 454 +30+11-3+7-1-7-1+1-15-8-1+0+1-1+11+3+4+7+0+0+1+17-2-3+11-1-9+8+5-5+2-10
forward_m_terminal_cycles - 634 +51-3-4-3-5-4+23+4+2-7+1+11+0-9-3+22-12+10+12-7+11-7-1-7+18-1+5-13+36+7+13-17
forward_p_terminal_cycles - 642 +10-9-13-3-24+10+7+5-18-9-1-12+2+4+17+6-19-2-11-3-2-6+12+17+22+1+15+26-15+10+6-14
forward_m_full_cycles - 887 +72-7-2-10+23-33+12-14+1-20+16+23-5+11-7+1+20+2-1+3-17+6+8-2+10-4-19-14+12-6+4-26
forward_p_full_cycles - 902 +65-7+9+1+4+3+33-31-3-12+9+11+12-14-5+25+10+2-15+31-28+6-20-4+12-29-30-10+1-23-12+14
baseinv_j1_cycles - 1199 +43+0-2-6+13+2+4-11+0+13+6-3-5+8-1-4-9+13-7-9-1+22-7+2-12-3+7-11+0+7+4+1
basemul_f0_j1_cycles - 610 +28+22+20+3-2-4-4-5-2+3+12-4-4-1-1-3+12+0-2-5-4+2+8+11-4-4+26+14+18-3+0+5
basemul_general_m_cycles - 716 +73+52+12+9+24-24+13-7+9-8-14+1+0-1+7+0-17+0-9+3+10-8+13-5-6+3-9+0+9-13-2+1
basemul_scale_m_cycles - 632 +43+25+4-4+6-1+1+0+6-5-1-4-3-1+1-5-3+2-3+2-1+0+4-4+3+494+34+3+6-3-2-2
inverse_m_core_cycles - 615 +21-6+6-8-8-19-7-2-20+19-7-22+9+23-6+7+28-21+1+6+11+21-7+2-1+10+22-22-5+5-3+1
inverse_m_tail_cycles - 588 +118+16+9-12-7-6-9+6+2-10-3-7+16+7+5+6-10-8+1-7-3+22-1+1-6+7+0-7+0-6+5+22
inverse_m_full_cycles - 971 +31-1+23-10+24+11-3-7+12-21-8+26-6+41-19+23-12-6-24-16+6+9+7+15-8+32+20-4-9+13-8-5
q24_unpack_m_cycles - 394 +49+17+46+5-4+2-6-11-9-2-11-12-3-6-2-15+15+0+23+5-7-1+24+0+2-9-9-2+3+7+25+5
q24_pack_m_centered_cycles - 414 +16-9-2+1+4+2-4-12-2-9+0-5-1-12-11+0-2+8+1+4+7+18+8-1-12+7+7+1+3+4-3+10
q24_pack_m_lazy_cycles - 483 +2+2+14+1+13+14-1+2-7+2+7+2+0+4+5-1-7+0-10+4-9-7-9-8-9-1-3+0+2-11-4-17
