implementation crypto_kem/ntruplus768/avx2-gt32-clean - 
words 768 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
forward_frontend_cycles - 452 +65+11+8-6-2+7-5-4+6-3-1-8+1-1-8+5+0-1-6+1+7-4-10+16-1+8+4+0+9+0-4-1
forward_m_terminal_cycles - 637 +67+41+20-14-2-17-2-8+1-4+11+7+1+1-12-9-18-6+13+1-10-6+7+657-5+601+7-8+596+25-15+11
forward_p_terminal_cycles - 643 +66+18+3-12-10+0-1-2-6-3-20+1-5+22-21+3-10+27+1+35-12+25-23-12+30-3+3-4+18+2+24+5
forward_m_full_cycles - 882 +62-5+5-13-1+4+26+17+40+10-7-4+17-14-20-20+11+11-10-23-4+3-5+3-1+10+23-14-12-2+3+0
forward_p_full_cycles - 905 +71+13-26+12-34+1-1+19+3+6+12+4-30-11-12-16+14-7+15-18+10+2+0-8-5+8-4+13-9-21+4-9
baseinv_j1_cycles - 1197 +332+23+5+2-3+12+1-9-7-3+8+4+13-4+6-13-1-15-16-4-14-4-21-6+0-9+4+2+2+5+10-1
basemul_f0_j1_cycles - 613 +149+18+20+20-9-9-7+2+7-6-8-1+2+1+0-6-7-3+2+0+8-8+11-9-5-7+13+7-7+0-2+6
basemul_general_m_cycles - 724 +122+67+23+17+0-18-4+1-21+6-5-8-15-25+11-4-7+12-6-6+1+0+15-2-8+1+3+13+11-15+1+5
basemul_scale_m_cycles - 633 +100+12+2+2-2-5-3-6+16-3-2-3+1-4-4+0+7+5+3-6+0+0+6+3-4-4-1+10+11+3-1-4
inverse_m_core_cycles - 610 +144+18-8-9+10-11-5+9-10+11-10+15+2+19+3-5-10+15-8+20-16-11+9+19+11+1-10-2+9-14-3-4
inverse_m_tail_cycles - 589 +379+3+8-6+11+1+0+4+13+5-14+6-6+6+4+1-8-22-6-10+11-15+13-7+1-3-14-5-1-9-7+20
inverse_m_full_cycles - 972 +53+42-27+3-5-7+7-24-13-22+8-4-10+7+17+4-16-8-1+0+14+5+6-4-20+21-17+4+47-28+15-4
q24_unpack_m_cycles - 390 +143+28+43+22-4+4-9-9-3+8-2+3+9-6+0+3-1+5-8-13-1-9-14-5-12-4-6+23+9+7+11+11
q24_pack_m_centered_cycles - 422 +25+8+7+8-6+8-13-14-15-5+0+2-1-13-18-16+1-21-2+2-4-2+6+16+14+3-6+19+7-2+7+1
q24_pack_m_lazy_cycles - 485 +124+3+9+3+7+4-4+0-3-5-7-1-2+1+1+0+0-2+11+10+14+3-3+8+7-4-3-8+10-5+0-6
q24_pack_m_highrange_cycles - 480 +34+28+26+13+13+0+0-2+2-2+5+1+1-5+1-11+0-9+13-7-1-5-14-3+6+8+0+7+11-13-9-2
q24_pack_p_cycles - 455 +145+26+31+15+16+16-8-10+0+7+8-13-3-13-8+0+0-4+1-3-5-7-9+3+0+12+1+2+2-8-2-3
q24_equal_m_cycles - 338 +134+4+12+5+0+10+6-4-13-2+0-6+4+1-1+9+2-4+3-9+2-1-13-15-19+3-15-14+8+4-4-20
forward_frontend_cycles - 450 +30+7+4+4+10+0-5+7+16+0-8+18+5+3+0-3-1+17+4-10+1-4+0-4-2-1+5-2-3-1-2-3
forward_m_terminal_cycles - 637 +38+14+5-10-17+16-26-8-11+20-6-20-13+10-7-8-10+0+5+17+3+0-3-8+8-7+13+12+13+14-15+9
forward_p_terminal_cycles - 647 +39+5-22+3-2-13-23-13-5+16+0-5+3+18+10-9-9+0-4+2+0+6-18+4+29-7-27+13+12+11-2+28
forward_m_full_cycles - 886 +19+31-24-2-14+1+27+1-8-20-22+11-7-18+2-3-11-6-14-2+4+13+12+0+6+1+6-24+9-27+3+11
forward_p_full_cycles - 897 +48+51-17+16-4-1+9+1+28+9-1-14+4-18+11-14-15-25+14+1+6-4+3-2-8-13+3-5+5+12-13-5
baseinv_j1_cycles - 1195 +49+6+6-1+9+2+3+2-13+13-11-7-5-5+0+0+3-6-6+0-1+3-16+8-8-4+10+5-7-5+20-5
basemul_f0_j1_cycles - 617 +32+12-2-2+1+1-7-8+6-12-8+3-11-10+6+1+14+9+3+3+3+9+16-7-10-7-10-2+1-3+5-8
basemul_general_m_cycles - 715 +75+51-6+9+6-20+12-1-3+0-20+1-8-15-1-8+1+18+11-6+9-21+9-13-9+5-6+4+2+0+16-9
basemul_scale_m_cycles - 634 +27+16+5-3+3+7-4-6-11+1+6-8-5-4-5+2-6-6-1-1+4-1+1+3+5+1-4-2+2-6+2+3
inverse_m_core_cycles - 614 +1+7-3-11+1-25+6+12+17-14-11-19-25+6+11-24-4+1-2-10-15+12-16-12+3+15+11+10+24+15-12+20
