implementation crypto_kem/ntruplus768/avx2 - 
publickeybytes 1152 
secretkeybytes 2336 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
forward_small_cycles - 989 +143+17-3+6+18-13-8-2+17-15-10-14-16+27-6-31-3+4-12+13+9+13+10+10817-5+2+20-7-26+10+4-6
forward_general_cycles - 983 +100-18+2+16+30+4+5-8-27-2-8-4+9+3+7+5-1+2-10-1+2-22-11-7-5+11+28-20-3+1-11-1
basemul_cycles - 730 +277-2-7-22+4+14-25+7+0+5-3+4-7+13-12+8+6+0+6-5+8-6+3+2-3+4-1-5-5+0-8-8
basemul_scale_cycles - 635 +96+19+4+4+4+1-10+7+0+5+15-5+7+4-11-10-6-5+4+1-2+3-10-8+4-7-3-6-2-1-7-7
inverse_cycles - 997 +464+26+14-13+8-18-6-2-8+1-15+2+4+2-3-1+0+9+4-8-1-14-7-3-5+5+5+4+15-4+6-18
baseinv_cycles - 1243 +1100+94+149-10-6-7-3+185-8-5+1+16+22+6+0+18-2+3-5+2+14-17-8+1+3+15+0+12-18-8-5-12
poly_frombytes_cycles - 349 +120+6+9-2+7+10+1+10+10+2-4+2+0-1-1-9-9-6-7+3-9+5+7+8-10-4+12-7-2-8-2+8
poly_tobytes_cycles - 424 +66+7-5-6+8+5-4-14-10+2+2+10-2-8+5-2-2-5+5+4-9+3+3+10-8-10-8-9+11+7+0-3
cbd1_cycles - 313 +123+33+11+11-6-2-4+3-7+3+29+1+0+17+24+3+14-8+26-3-8-6+5-5+13+0-8-8-3-5-5-8
crepmod3_cycles - 440 +134+43+2-1+4+2-6-11-1-11+3+8+7+4+10+4+13+10+23+9-16-5-6+0+0-8-5-7-2-7-2-4
poly_add_cycles - 244 +142+26+8+14+3-10+8-8-6-1-10+4-14-2+8+6-2-2-20+4+10+1+10-11-2-4+6+0+4-6-7-10
poly_sub_cycles - 235 +145+28+6+3+3+5+5+3+4+3+9-6-6-13-7-8+1+0+1-9-3+0-9+1-4+8-5-1-8-7+4-7
sotp_encode_cycles - 318 +90+8+6+11+4+6+11+6-2+14+12-2+4-11+3-6-5+0+2+4-10-11+0-11-11-10-11-10-12-4+3-10
sotp_decode_cycles - 351 +167+5+0+3-7-2-3-1+7-5-4+0-3+2-1+4+3-3-2+4+6-2+2+12-6-6+6-7-6+3+2-7
hash_f_cycles - 10969 +730+60+36+27+7+36-106-32+56+10+52+35-62+65+20+17+26-17-41+6-139-215+20-2-120-32-201-76+11-196-150-44
hash_g_cycles - 12161 +335+37+98-181+57-159+38-51-4+36-57+4-1-28+8-51-76+31-251+75-224+5-26+19-32+18-53+30+13+75-204+4
hash_h_cycles - 2666 +276+131+15-14-16+45-10+0+29+15-22+16+30-14-19+14+31-27-17-9+9-20-19+8-7+30-67+1-10+6+19-28
poly_mul_small_cycles - 2937 +464+30+31-15-4-1+2+12-16-8+5+1+20+15+1+3-12-3+15+13+15-9-30-25-8+19-9-10-30+15+6-43
poly_mul_general_cycles - 2935 +206+0-29+19-5+14-16-15-4-4-30+10+7+8-11+2+6+19-28+30+1+5+22-22+28-18-8-42+22+29-42-28
forward_small_cycles - 986 +68+21-3-16+5+20+8-5-14-19-16-5+4-2+8+8+20+0-2+1+14+18-18+2-5-9+1+3-15-9-10+14
forward_general_cycles - 985 +36-9+11+0+10-22+14-6-13-7-15+7+16+5+2+6-3-8+17+4+11+5-11+4+11-27-2-12-19-18-14+14
basemul_cycles - 729 +45-15-19-10-5-7-2-3+5+5+0-13-7-12-2-5-3+3-12+3-7+0+6+6+6+8+7+2+5+3+1+3
basemul_scale_cycles - 637 +6+8+4+1-3+5+0+20+9+0+7+7-3-7+5+2+5-3+0-3+0-2+3-8-3-5-4-4+2-1-5-1
inverse_cycles - 997 +38+29+6+6+1-15+22+33+4+8-24-21+7-17-12-9-3-13-20-3-2+0+0+12+1+10-3+0+2+1-2+4
baseinv_cycles - 1239 +88+28-10+51-3+146-5-10+3+13+7+82-14+14-14-2-5+20-8-10+0+6+0+13-15-2-10-4+29-3+2+21
poly_frombytes_cycles - 350 +37-2+4+2-2-1-3+2-1+11-7-10+3+4+5-10+2-9-10-2-5-5+2+2+4-8+3+6-6-8+4-3
poly_tobytes_cycles - 423 +12+7-9+2-2-5+8+3-4+7+8-8+2+2-5+2+12-5+4-4-1+11+0-12-12+4-1-4+3+1-1-2
cbd1_cycles - 313 +44+29+9+6-3-5+24+21-9+2-1+13+0+2+1+1-1-6-2+6-6+27+4-3+0+0-6-7-2+1-6+0
crepmod3_cycles - 434 +47+18+18+12+5+2-7+4+11-9-2-2+7-8-4-9-4-4+5-4-6+8+6+7-4+1-5-7-2+5+1-5
poly_add_cycles - 239 +57+5+7+2-4-1-1-1-9-2-9-1+13+10+5+7-9-1-14+1-13+3+9+11+2-1+10+0+3-3-15+2
poly_sub_cycles - 234 +14-4+11+15-5+4+8-5-10-4+9+4+10+4+6-3+2-8-4+3-8+6-4-8+1+9-1+0-10-5-9+9
sotp_encode_cycles - 315 +41+13+7+17+15+11-1+5+1-3+1+0+0+1-10-4-1-2+3-9-5-8-1+0-2-10+3+4+1-9-6-7
sotp_decode_cycles - 352 +20+5-8-7+8+4+4-2+6+2+3+5+6+6+8+7+5-3-6-4-7+6-3+8-7-7-5-8-8-5-3-2
hash_f_cycles - 10905 +105+95-41+57-52+11-120-115-48+77+157+51+64-78+25-65+72+97-89+134-91-9+69-186+78+93-113+31-127-82-17-131
hash_g_cycles - 12061 -1+178+4-59+49-143-91-108+203+183+162-116+151-77+92-91-96+170+136+60-48+60+80-84-90-61+69+127-143+97-152-116
