implementation crypto_kem/ntruplus768/avx2 - 
publickeybytes 1152 
secretkeybytes 2336 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
forward_small_cycles - 976 +107+52+27-7+3+3-5+3-2-18+4+12+4+11+27-4-5-11-9-1-7-19-16-6-3+23+5-6+28-9+15+23
forward_general_cycles - 979 +118-5-2+7-18+1-9+8-1+3-11+23+86+52-3-6-20+14-12+10-6-15-1-10+5+21-4+16+18-5+23-7
basemul_cycles - 717 +214+6+14-3-8+16-1-2+5-8-3+12+3+15-1-3-16-3-2+12+2-8+5+15+21+4-13-5-11+11-1-3
basemul_scale_cycles - 629 +97+24+13+3-3+14+1-6-8-8+2+5+7-2-2+0+4+0-6-6-4+6-4-6-3+2-1+5+13-5+0-7
inverse_cycles - 991 +512+30+5+27+8-10+8-5+3-11-1-3-33+14+0+19+11-9+5-3-8-8+7-14-23-8-24-6+14+5+1-6
baseinv_cycles - 1244 +1087+86+1+2-17+146+6+0-9-15+136-14-1+20+2-16-6-23+0-2+25+1+19+1+1-21-10-1+21-18-17-2
poly_frombytes_cycles - 357 +83+18-6-7-4+1+4+0+1+3+1+1+0-8-6-1-8-1+0-4-7+3+0-5+3-7+3+3+8-8+4-3
poly_tobytes_cycles - 422 +66-2-8+10+3-3+3+9-2+1+6-3-3+0+1+0+5-3+9+0+4+5-3+0+0-1-6-4-5+3+5-5
cbd1_cycles - 318 +135+14+2+12+4+7+5+13+7+10+17+16-6+19-13-14+2-10-5-1-13-3-3-6-5-4+14-7-11-6-5+10
crepmod3_cycles - 433 +154+29+3-5-12-9-14+0+1+5+0+1-7-13-1+0-2-4-2+12+10+0+13-9+11-10-8+5+6+7-7+2
poly_add_cycles - 241 +198+14-4-19+0+7-16-7-5+3+11+10+6+1-1-15-1-4-10-3-8-6-17-1-8+5+7+1+12+7+9+3
poly_sub_cycles - 238 +144+31+10-5-3+2+8-3+7-9+8-9-3-6+1+1+3-1+11+15-7-2+6+1-7-5+8-5-4+2-3+8
sotp_encode_cycles - 310 +154+54+19+10-3-3+0-1-1-6+10+4+4-3+9+9-1+9-4+8-2-3-1-2+7-2-5-4-1-2+9+6
sotp_decode_cycles - 356 +125-11-10-3+6-1+9+0+1+0-1+6+3+1-8+5+1+0+5-2-7-2+2-2+8+6+2+1+1-3-10-1
hash_f_cycles - 10849 +1015+152+30+23-116-29+26+173-114-13-76+123+79-12-81+20+90+143+132-56-18-14-51-29-115-32+154+5-101-59+37+10
hash_g_cycles - 12130 +469-8+70-59-70+41-161-214+78-146+94-22+77-19-188+53+62-225+37+34+23-18+9+10-18-20-3-196+8-174+637+68
hash_h_cycles - 2646 +274+57+17-14+41+44+12-25-3-12+30-5+0+9-24-87-31-44-3-28-2+9-30+11-28-3-30+48+28+92-18+48
poly_mul_small_cycles - 2919 +408+53+39-21-13+37+2-16+31-11+31-7-25-29+20+25+6-21+36+75+26+38+11-7-12+14-26-16-14-9-25-34
poly_mul_general_cycles - 2925 +151+53+3-19-7+22-18-26+4+0-43-30-17+14-16-33+45-16+27+3-6+6+11+11+16-18-18-2-17+5+3+27
forward_small_cycles - 974 +142-6+6+10-15+51+5+7+5-2-6+21+9+4-11-11+19-11-8+15-14-17-3+12-19-24-17-3+3+12-7+4
forward_general_cycles - 977 +18+23+12+34+4+0+23-3-5+0+10+14-13-11+2-20-8+7+1-4-1-4-2+1-13-16+5+2-15+16-5-23
basemul_cycles - 723 +32+5-2+6+3+8+6+1+8+1-7+4+5+9+11+4-9-7+3+3-7-4-11-23-1-6-15-3-2+0-5-2
basemul_scale_cycles - 636 +18+4+11+5+3+16-14-9+3-1+3+6-11-9-1+0-14+7-5-6-2+2-5+3+0-11+0-1+2-9-14-7
inverse_cycles - 990 +45+29-1-6-4+13+3+5+11+5+13-8+15-7-2+14+0+26+24-8-8+0-8-3-2-9-5+0+10+14-11-11
baseinv_cycles - 1245 +35+14-17-13-5-15+12+8-7+11-8+9+16+2+1+1-6-13-12+65+16+137-7-12+10+10+7+4-15-25-2-13
poly_frombytes_cycles - 352 +35+4+1-7-7-3-2-1-11-2+2+1-7+0+6+6+5-2-7-8+4-2-2+3+4+1+4+2+3-5-4-1
poly_tobytes_cycles - 423 +13+6+0-7+6+11-7+6-7+2+0+1+2-8-2-4-13-4+3+8+2-7-1-8-12+5-6-1+1+3+0-4
cbd1_cycles - 317 +45+23+4+10-5-7+4+2-10-2-2-5+15+17-5+11-5-3+18-5+14-5-12+13-4+10-12+12-5+11-11+4
crepmod3_cycles - 426 +68+46+12-5+15-1+1-1+1+14-6-9+1-1+8-1-2-15+9+2+3-1+1+7+6-6-7-5-2+1-1+3
poly_add_cycles - 242 +15-14-17-18-18+4+0-13-13-8-3-6+5-9-3-2+5+3+11+4+1-7-9+11+10+0+9+6+2-9+13+6
poly_sub_cycles - 234 +7+0+5-3+5+5+2-4+7+7+2+4-8-1+2+3+2+1-2+0+1-2-1+2-8-2-11+8-10-2-11-7
sotp_encode_cycles - 314 +55+21+15+4+4-2+4+7+6+18-4-8-1-7-7+0+2-6-4-6-8+6+8+5-4-5+5-5-6-2+1-3
sotp_decode_cycles - 355 +25+2+7+1-2-3+5+2+8-1+0+2+4+5+0+8-9+0-9+3+3-3+8-1-11+0-7-2-7-3-8-7
hash_f_cycles - 10931 +95-138+21+32-28-5+49-39-121+6-129+44+43-143+49+50-154+72+21-101+24-91-8+29-200+30-17+21-144+10-118-48
hash_g_cycles - 12018 +59+137-24-117-63+173+218+199+146+165-97-62+163-31-65+82+835-5-144+230+96-46+124-93-134-95+194-50-82-71-125+12
hash_h_cycles - 2647 +66+33+36+37+20-39+40+20+31-20+14+19+35+41-16-26+60-9-42+0-50-39-15-13+60-20-12-27+4-42-16-5
poly_mul_small_cycles - 2912 +98+64+16+25-14+19+14+15-3-4-2+7-4+13-4+1+0+6-18-21+15+5-2-3-36-22-49-4-42+5+14+0
poly_mul_general_cycles - 2926 +94+51+40-4-16-8-9-22+6+21-14-8+19+12-28-15+6-35+0+2-2+3+5-43+17-17+32-8-15+26+18+4
forward_small_cycles - 973 +22+35+2+5-4+3-3+8-7+3+3+9-10+18+16+2+2-9-5+5-4-4-7-2+14+5-4+13-17-11-7-5
forward_general_cycles - 981 +50+23-4+0-1-6-2+3-11-2-3+5+4-10+6-18+14-5+2+8+5-10-21-5-21+18+1+10-8+0+12+16
basemul_cycles - 721 +20+0-2-7-3+3-13+2-4-6+0+0+6+16+7+2-10+6+11-7-13-9-11-2+1+2-10+8+1-1+4-15
basemul_scale_cycles - 631 +9+23+13-3-3-1+9+1+6+5+5-7-9+5-6-5-3-7-5+4-2-2+3-8-3+0+4-7+5+1+2+1
inverse_cycles - 995 +82+37+2-10-7+4+23-18-11-18-16-4-14-25+2+14-1+11+11-2-22+11-2+1+10+5+8+13-13+14-6-17
baseinv_cycles - 1245 +47+21-24-6+3-13-5+58-16-4-19+70-9+8-14+10-10+2-1+55+4-12-9+11-22+0+7+25+19-11+28+5
poly_frombytes_cycles - 345 +44+5+1+7+10+4-4+13-5-2-1+2+0+2-4-1+2-1-3-2+7-3-1-3+3+6+6+7-1-4+0-2
poly_tobytes_cycles - 422 +12+6-12+2-8+8+9+3+0+11-1-6-1-14+0+5+3-1+0+4+5-5-4+2+3-6+2+11-4-8-9-3
cbd1_cycles - 317 +29+20+26+1+14+17-4-11+0-7-3+0+25-1+19+11+0-6+12-12-12-11-6+10+12-11-12+15-12-11-11+23
