implementation crypto_kem/ntruplus768/avx2 - 
publickeybytes 1152 
secretkeybytes 2336 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
forward_small_cycles - 986 +151-14+13+15-22-3-11+0-18-11-15+365+15+29+5-16-23+4-27+2+4+3+3-10+4-12-15+6+1-4+7+1
forward_general_cycles - 979 +87+27+20+13-15-4+9-21+10+9-2-33-8-17+9+11-15+0+12+12-5+21-24-1-3-17-20-2+14+4-14-27
basemul_cycles - 721 +261-4-7+15+4-10+7-18+16+4-4+5-18-10+6-7+3+11-7+7-2-21-4-13-18-4+6+6+13-4+11+7
basemul_scale_cycles - 635 +103+20+0-7-4-2+12-12-10+3-5+2-9-10+1-3-3+1+3-9-3+0+2+5+3+0+1-3+2+0+1-6
inverse_cycles - 985 +487+21-5-5+3-4+8-7-2+10+9+16-2-13+15-7+2+1-2-23-6+24+21+9+12-6-2-10-7-4+2+14
baseinv_cycles - 1237 +1109+102+4+198-5-2+147-7-11-1+4-6-13-13-17-1-5-12-15+67+4-7+27+19+2-7+7-3-1+42+36+16
poly_frombytes_cycles - 356 +87+3+3-7+5-7+4+2-2-3+3-2+5+5-8+9-10-3-6-6-2-1+2+7+0+5+5-7+4+1-2-11
poly_tobytes_cycles - 426 +63-3-16-6+12+7-7+5-10+10-1-4+7+3-2+1-3+3+4+6-6+2-6-9+0+12+4+1+4-8-5-2
cbd1_cycles - 321 +109+15+2+3-3+0+16+8+15+11-10+19-11+0-15+6-15-14-12+4-2-2+4-14-13-4-5-1+6-14+9-15
crepmod3_cycles - 434 +160+14-2-1+1-7+9-7+8+5-2+7-5+10+1-4-1-1+7-3-2+2+7+2-9+3+1-5+0-1+1-2
poly_add_cycles - 243 +146+25+18-3-9+2-2-5-5-3-9+4+0-9-4+6+9+6-9+1+0+6+2+11-1+5-2-1-1+0+8-13
poly_sub_cycles - 239 +141+25-10-11-11-5+3+2-5-4-2+2-3-1+7+9-2+2+8+7+2-7-10-7+7+10+0-11+9+10-10-8
sotp_encode_cycles - 324 +87+6-2-3-3-1-6-2-7+7+4-1+3-8-6+7+7+1+8-7+0+5+5+8+3-2+5-2+1+5-15-14
