implementation crypto_kem/ntruplus768/avx2 - 
publickeybytes 1152 
secretkeybytes 2336 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
forward_small_cycles - 986 +95+3+9-1-4+1+5-14-10+0+0+3+0+15-12+6+1+11+4-12+24-16+1-19+3-32+5-22-8-10-20-12
forward_general_cycles - 977 +85+16-10+0+16-10-6+4-12-19-4+7-1+14-1-13-6+3+8+5-10+23+37-1-8-11+5+5-11+29+1-20
basemul_cycles - 719 +199+6-5-10-6-10+2-8-9+0-7+0+5+2+10-10+17+16-7+16+12+6-2-15-13-1-3-5+11+8+9+2
basemul_scale_cycles - 632 +84+12+7-1+9-2+12-4+21-2+0-8+3+2+4-8+4-3+1-1+5-3-1-3-3-5-3-10+3-1+3+2
inverse_cycles - 990 +460+36+12+17+11+0+10+18+12-9-15+17+16+30-8-4-8-15-12+8-11-8-3-1-11+9+27-6-18-8-6-3
baseinv_cycles - 1241 +1077+82+158+11-9-1+1-18-8-3+12+0+72+0+3-2-1+12+10+1+4+9+0+2+5-1-5-11-18-3-9-8
poly_frombytes_cycles - 350 +83+10+3+84+18+1+11+1-8-8-6-5+7+0+3-9+3+2-1-2+1-4+0-4-7-5-11-7+6-1+5-9
poly_tobytes_cycles - 422 +84+9+3-5+6-6-1-8+0+3+8+4+7+0-8-9-1-5-5+3+12-8-4+0+3-4+2+7-2+2-1+1
cbd1_cycles - 317 +139+11+6+12+8+12+23+23-2+2+0+12-12-1-9+12-2+26+0-8+19-6-5-11-12+4-11-13-10+0-1+0
crepmod3_cycles - 430 +157+38-6+2+7+9+4+10+1-1-6+4+5-4+3-1-6-4-6+12-6-7+2+7-12-12+5-3+3-2-3-1
poly_add_cycles - 246 +197+26+17-15-6-18+4-18-8+2+4+4-12+8+0+3+8-4-12-3-1+1+5+3+6-13-17+4+8-5-6-15
poly_sub_cycles - 235 +147+32+0+10-4+6-1+10+7+12+6-1-7+1+4+1+0-2-9-6+1+5-5-12+0+4-4+6+2-1-2-11
sotp_encode_cycles - 314 +120+44+17+14-5+5-1-1-1+4+0+2+2-3+6-2-6-9+2+6+9+0-7-6+3-5-2-6+3-6-4-5
sotp_decode_cycles - 346 +151+7-1-2+0+5+1+10-5+4-1-3+0+1-1-1+4-2+0+1-4-4+1-3-1-5+2+13+9+14+10+11
hash_f_cycles - 10830 +873+167+196+33+164-57+20+2-36-28+20-38-28-25+9+10-37-56-11-45-33+58-60+173+15+99-54+33-22-71+115+45
hash_g_cycles - 12149 +497+132-25+79+17-83-57+45+44+36+95+85-116-13-156-186+57-142+10-192+1+10+56+17-180+87-212-22-17-228+68-213
hash_h_cycles - 2662 +238+94-2-10+39-56-13-46+18-14+31-22+8-29+6+41+11-15+11-39-6+20+2-15+14+12-18-26-22-12+15+16
poly_mul_small_cycles - 2934 +519+52+2-47+5+3+42+5-12-8-35+11-46+22-32-4+15-34-30-20-28+28+21+0+3-3+19+30-10-30+36-30
poly_mul_general_cycles - 2917 +210+50+14+29-1+39-8+7+1-28-1-15-1-11-12-5-7-20-17+16+10+4-7-15+11-20-17+15+38+0+21+16
forward_small_cycles - 986 +27+9+19-6-8+24+29-1+18-13-9+20-20-8-9+9-1-28+9+6-4+4-5-49-16+15-8-23+6+3+4-3
forward_general_cycles - 974 +56+15+20-2-3-3-3+5+4+11+36+3+12+15-24-6-8+0+7-2-7-1-7-3-4+5-10-15+6-2+4-10
basemul_cycles - 725 +53+14-2+4-4+8-7+6-25-24-9-3+7+9-3+0-17+3-5-7-4+7+2+1-24+2+3+5-20+3+1-19
basemul_scale_cycles - 636 +9+16+2+6+9+8+5+9-11-4+6-6-5-6-6+5-2+4-4+1-3+0-11-9-3-13-8+44+15+11+11-7
inverse_cycles - 993 +150+17+8+8+2-1-8-8-4+10-16+19+1-7-13+6-15+2-7+27+8-17+19+7-6+15-6-2+20-19-23-28
baseinv_cycles - 1249 +49+11-30-23-9+0+131+106-6+26+2-13-17+6-5-9+9+22+11-4+10+4+18+21-24-4-16+5-14-1+2-6
poly_frombytes_cycles - 350 +20+1+0-6-6+6-1+0-3+4+4+6+6+6+3-8+6+6-9-4-8-2-8-10-6-1-4-1+1+1+2-6
poly_tobytes_cycles - 420 +14+3+5+4+4+4+2-3-9-3-7+9-6-3-7+11+10-2-1+5-4-6+1+14-6+8+11-2+8-6-6-7
cbd1_cycles - 317 +25+10+13+7+4+4+4-4-9-4-4-4+2-10-10-9-6-5-3+0+2-5+1-2+2+12-8+24+6+12+20-5
crepmod3_cycles - 433 +28+26+0-5+0+3+5+11+4+0-11+3-12-6-2-3+7-19-8+4-6-6+3+1-8+3+3-11+1-14-4+0
poly_add_cycles - 242 +13+32-9+4+11+3+7-8-2-9-15-9+2+7+7+3+2-16-6-16+2+4-2-16-1+8-12-9+3-7+6-6
poly_sub_cycles - 235 +11+7-7+1-8-5-7+12+16+3+10+14+0-1-10+1-8-10+0-1-6+1-2+3-5-2+0+5+2+5-1-4
sotp_encode_cycles - 314 +28+20+16+18+11-6-3-4+5-8+6+8-7+6-9-8+0+4-4+1+0+2+9+6+4-5-5-7-4-3-1-6
sotp_decode_cycles - 353 +24+5-7-7-6-3+5+5+9+11+2-6+3+0+0+0+10+11+6-11+8-6-6-1-5-2-4-4-6+1-3+4
hash_f_cycles - 10810 +307+23-19+24-14+210+38-29+47+16-2+188-53+42-35-7-45+43+2-3-33-56-95+83-57-27-16-52+27+179+30-46
hash_g_cycles - 12009 +128+98+42+19-6+194+81-31+9-28+48-4+56+42-8-35-79-18+49-39+14-31-64-35+234+16-42-59-19+1-41+38
hash_h_cycles - 2654 +97+56-27-39+15+38+2-20-14-10-15-11+1+16-22+94+2+34-33-6-1-8+16+21+6-11-54+12+7-10+36+18
poly_mul_small_cycles - 2932 +47+81+51+12-7-7+16+0-4-24+29-39+26-6+5+4-8+38-44+1+10-39-6+37-54+3-7-11-18+21-47+19
poly_mul_general_cycles - 2926 +45+37+18+7-3-2-40+4-2-44-25-17+3-27-11+9-18-54-34+23+17+7+11+17-16-20-25+15+9-7+2+4
forward_small_cycles - 983 +47+43+9+19-5-51+9+33-5+2-7-9+21-9-6-11+13-17-5+7+21+2+10-3-15-20+18-17-17+22-9+12
forward_general_cycles - 989 +0+8+339+29+7-11+9-8-19-10+17+0-19-11+17+0+5+1-9-10-6-13-1+23+10+2-9+1+5-14-8+6
basemul_cycles - 718 +23-8-5+4+1+6+0-1+3+16+10+11-5-14-11-15-4-3-16-2+5-9+11-10+4+5+0-8+5+1-8+5
basemul_scale_cycles - 634 +9+22+7+4+14+7-2-5+14-2-6-9+11-12-6-6+1+2-1+5+1-3+3-4+2-4+2+0-1-4+1-4
inverse_cycles - 1002 +35+23+21+5+5-10+15+5+6-16-12+2-3+3-4+6-1+0+14-18-2-11-12-20+0+25+0-15-11+9-10-11
baseinv_cycles - 1242 +18+35-4+170-3+134-5-4+11+18-7+11+0-3+6-1-5-6-10-3-14+12+29+17+11+6-2-9-13-10-9+15
poly_frombytes_cycles - 348 +24+5-2-4+3+2-5+0-6+2+9+1-10-4-3+5+7-7-2-4-6+1-8+6-5+5-6-6+10+4+9+1
poly_tobytes_cycles - 421 +7+3-1-1-10+0-10-2-4-11+4-8-9-6+1-3+10+6-6+15+5+11+5+0+9+10+1-9-1+10+2+1
cbd1_cycles - 318 +21+1+3-1+5+0-8+11+16-13+11-3-12-12+19-3+14+22-7+4+11-6+0-5+17-12-4+17-6+21-1-4
crepmod3_cycles - 435 +42+28+1+2+2-15+3-9-6+3+1+3+0+2-12+0+5+9-9-7-19-11+6-3-10-8+4-9-6-16+9+2
