implementation crypto_kem/ntruplus768/avx2 - 
publickeybytes 1152 
secretkeybytes 2336 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
forward_small_cycles - 978 +84+68+4-17-11-6-7+19-14+0+9-24+6+11-18-8+16+4+26+14+15-8+8+18+0-1-21-8-5-2-7-3
forward_general_cycles - 976 +119-5+11+27-1+3+14-2-10-11-7-3+1-16-6-13+3+2+7-11+33+2+22+9-6-7+20+23-6-2+9-27
basemul_cycles - 715 +234+29-6-14-8-2+7-2+1-12+3+1-8+2-5-13-9+10+0-3-3-2-1+3+15-7+9+6+14+8+3-5
basemul_scale_cycles - 633 +110+24+5+6+6+1-1+7+6+6+22-8-7-7+1-1-2-1-7-1+1+0-11-4-6-1-1+1-11+4-3-1
inverse_cycles - 989 +498+98+20+21-5-4+18+11-12-12-9-5+24+11-8-1-10+12+12-9+8+12-9-6-5-12-10+10-6-12+5+25
baseinv_cycles - 1255 +1151+151-19-36-8-17+17+147-12-22+12+16+4-14+68-7+6-7+6+1+2-21+16-12-22+9+14+7-15+15-12-10
poly_frombytes_cycles - 359 +81-1-12-1+2-9-4+2+2-5+2+5-6+0+0+0-9+4+3+3+0-8+0-11+2+1+0-10+3-10-2-1
poly_tobytes_cycles - 420 +65+2-5-5-4-7-3-5+6-2+1-8-10-3+1-7-4+2+3+4+0+6+8+7+10-6+3+0-3+1+0+0
cbd1_cycles - 322 +113+43+0-10-2+2+2+5-9+14-12+5+5-5+18+17-10+20-5-10-16-18+14-4-3-10-9-9+8+13+3+12
crepmod3_cycles - 431 +147+30-1-6-2+8+5+10+0+14-2+11+10+7+7+9-5+9+14-1-4-4-1+4-5-5-5-9-12-5-8-8
poly_add_cycles - 248 +198+24+9-17-13-4+6+6+0-19-13-8+4-5+6+4+6+7+6+7-9-9-17-3-12+5-11-12-24-2+7+5
poly_sub_cycles - 237 +142+25+4-1-8+4+8+2-6-4+6-3-4+1-6+5-9-3+3-3-7-1+12-10+1+1-8-5+9+11+8+6
