implementation crypto_kem/ntruplus768/avx2 - 
publickeybytes 1152 
secretkeybytes 2336 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
forward_small_cycles - 977 +188+53+15-10+0-17-2+17+7+20-14+12+1+10+26+6+32-1+6-5+1-15-9-7-12-12+10-13+1-34-8-17
forward_general_cycles - 978 +97+28+12-14-10+4+22-18-2-21-19+18+2-1-12+7-3+9+3-19-3+4+7+4+17-9-18-5+10-9+8-10
basemul_cycles - 716 +569+36+13-6+2-11-5+4657-5-10+3+18-17-10-15-3-7+4+3+13-13-5-6-10-14-1+11+8+13+4+12+4
basemul_scale_cycles - 635 +128+7+3+5-10-6-5+4+3+14+12-11+2+3-1+2-1-3+2-3-7-7+0+0-1-2-2-6+0+2+1-1
inverse_cycles - 990 +696+42+5+25+3+5-9-4-7-9-22+0-9+1-1+2+1+6+10+1-2-4+8+7-2-7-6-8+2+12-10+2
baseinv_cycles - 1244 +1340+95+3+148-4-8-10+22-13-6+23+20+9+8-4-3+12-5+10-14+164+5-8+6-3-7-2-8-6+2+3-4
poly_frombytes_cycles - 357 +120+18-6-7-4-1+3+2-4+0+0-4-7+6+8+1-3-4-9-3-3-9-2+2+3+6+4+9+2+5+7+5
poly_tobytes_cycles - 440 +42+6-13-1+11-9+9-6+3+3+1+7+3-7-6+0-2-4+2+1+4+1+1+1-12-8-8+0+0-4-5-9
cbd1_cycles - 317 +139+15+20+3+10+16-9+10-11+4+10-10-1-3-1+11+2-4-6-10-11+20-7-7-10+2-6+5-1+1+1-11
crepmod3_cycles - 427 +142+28+28+9-7+2+7-1+1-2-10-3+1+9-2-5-4-5-6-1-3+7+8-1+16-8-5+0+3+2+3+8
poly_add_cycles - 238 +197+20+16+1-6-11-5-11+12+2-2-3-7+14+15-7-12-11+2-8+0-7+1-7+3-15+9+3+4-1+15+2
poly_sub_cycles - 238 +144+26+0-1-4+1+0+8-3+9+6+4-2-2-4+6+1+1+0-6+5+1+4-4+2-7-8-1-12-8-7-1
sotp_encode_cycles - 314 +125+50+18+14+13-1-7-6+1-6-2+4-8+5+0-7-7+3-9-10-7-10-6-6-2+1+1+1+6+0+2+0
sotp_decode_cycles - 349 +132+1-1+3+2+6+5-5-1+3-1+0+7-5-2-9-5-4-4-6-4+4-3+1+0+14+1-8+8+3-3-8
hash_f_cycles - 10826 +939+82+209+83-47-17-87-50+27-61+23-28-91-20-10-57+28+12-15+2-36-48+59-76-47+225-50+159+27+124+135+122
hash_g_cycles - 12077 +512+118+134-9+48+90-84-111-142-112+0+83-88-45+21-138+97+123+52-124+95-133-164+99-170+78-161+29+120-123-147+43
hash_h_cycles - 2664 +298+118+19-27-13+31-17+0+26+9+15-19-7-6-7-14+16+5+21+7-4-33-13+16-12+0-69-9+409+2+9-47
poly_mul_small_cycles - 2939 +315+43-1+6+43-40-39+7+20+15+2+19-33-26+4+0+4-30-63-3-22+6+2+8-15+43+41-21-7-21-12-13
poly_mul_general_cycles - 2921 +162+30-18-2+34+38+26-5+65+25-16+2-45+4-3-9-13-29+37+37-19+7-7-12+1-10+18-5+7+16-33-28
forward_small_cycles - 977 +48+41+2-9+12-4-3-8+6-4+1-21-4+18-10+4+8-20-16+16-2+12-22-5+21+9+0+10-16-7+24-1
forward_general_cycles - 983 +37+22-3+3-15+0+2+0-20-16-35-1+4-9-25-14-21+13+3+8-15-6+17+10+7+22+12+2-26-2-14+3
basemul_cycles - 718 +22+14+0-11+10-13-4-3-7+14+11+3+13-1+12+5+1-14+12-8-11-15-8-4-18+1+8-3+6-13+12+22
basemul_scale_cycles - 632 +10+16+18+16+6+7-5+20+6-7-2+1+1-3-8-1+0-1+3-7+3-9+2+0-3+2-1+10-7+8-9-6
inverse_cycles - 994 +55+16-3+9-5-13+1+3-9+6+3+1-4-5-10-5+6+5-3-3-14+2+10-20+5+8+7+3-16+17-3-18
baseinv_cycles - 1250 +24+8+6+146-7+160-15+58-17-20+2-5+16-3-7+48+4-16+18-3+18+19-13+5+6-22-11+57-8-19-7-5
poly_frombytes_cycles - 351 +11+1-3-3-4+5+3+0+3+4+8+5-5+4+3+6+2-12-2-2-6-7-4-4+6-1-3+7-12-8+8-6
poly_tobytes_cycles - 435 +12-8-4+3-3-4+3-1+7-3+0+2+7+0+2+1+1+8-1-3-2+7-2+0+0+6+7-2+18-3-5-2
cbd1_cycles - 319 +16+1+2+2+16+17+14-8-5-14+1-4+15+13-5+11+16-2-14-12-1+19-11-7+12-1-12-2+1-2+18-4
crepmod3_cycles - 429 +23+6+3+17-4+6-11+10+3+15-5-2+3-2-1+2+2-13-2-3-5+2+6-3+3-5+0+0-6-1+7-9
poly_add_cycles - 245 +7+7+7-3+3+4+5+2+4-17-19-10-7-10-1-10-21-2+3+0-2-3-9-3-12+8+2+10+1+9+8+9
poly_sub_cycles - 232 +17+15+17-4+3-1+5+12-1+12-4-8+13-5-7-6+6+8-5+0-5-1+1+3+5+2-7-10+4+1-1-3
sotp_encode_cycles - 314 +27+21+6+5+3+2-4+7+0+1+0+2-7+5-7+3-7-8+2-5+2+4-6+1-8-8+6-6-6-8+7-8
