implementation crypto_kem/ntruplus768/avx2 - 
publickeybytes 1152 
secretkeybytes 2336 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
forward_small_cycles - 984 +88+2+3+9-19-22-14-1-6+6-14-12-5+12-7-4+18-10+5-6+15-23+5-9+9+20+3+13+8+6-1-14
forward_general_cycles - 985 +72+3+27-16+1+13+15-8-9+14+8-6-21-6-1-4+461+36+33+34-5-14+2-2+6-14+8-4-2-17+0-2
basemul_cycles - 719 +242+21-6-15-3-8+2-5-2-5-4-11-6+7+5+8+15-11-2+2-1+10+9+1+7+6+4-14+2-2+2+0
basemul_scale_cycles - 634 +109+12+8+5+7-4-6-4+8+0+2+4-4+3-2-2+7+6+1-3+6-6-9-1+2-2-1+0-8+2-1-5
inverse_cycles - 994 +504+22+1+10-20-7-6+5-11+16-18+2-4-9-17+0-8+9+7+2-25-2+15+18-23+5+0+15-9-9+9+16
baseinv_cycles - 1252 +1053+115-24-15+42+138-3-6+1+8+1+7+20+4-14-4-2-16-8+17+16-21-5-1-1+10+16+8-5-1-22-20
poly_frombytes_cycles - 349 +111+20+8-10-1+4+18+7+7+7-6+1+1+0+8-2+9+2-3-5-5-2+1-5-5-1-9-3-1-5+3-9
poly_tobytes_cycles - 424 +61-4-13+9+0-12-9-6+6+8+5-2-8+0+7-4+3+2+3+0-9-14-12-2-2+11+9-1+2+4-2+3
cbd1_cycles - 325 +133+6+3-3+2+4+17-3-5+8+6+9-15-1-21+6+3+7+9-19+12+4-8+14-20-7-8-19-15-12-19-9
crepmod3_cycles - 428 +158+22+6+1+5+3-6-2+8+7+6+6+4-7-5+1-13-8-3-9-5-2-6+3-9-9+1+3+3+5-14-1
poly_add_cycles - 238 +136+18-14-12-2+3+0+6-8+11-6-11+12+1+10+3+4+10+12-3-3-11+3+6+0-4-1-9-1+16-2-2
poly_sub_cycles - 233 +143+23-2+1-1+3+1-1-5+10+8+8-3-4-2+1+8-6+5+7-4-6-3-7-7+3-4-6+8-1+5+7
sotp_encode_cycles - 313 +97+9+8+19+8+4+14+8+20+7-5+2-3-5-7-7-4-6-6-5-4-7-5-10+5+2+0+9-6+2+0+10
sotp_decode_cycles - 354 +141-6+6-6-9-6-9-4+12+1+1+3-7+0+1+0+10+4+6-5+3+5-9-9+4+2-6+2-3-1+9-6
hash_f_cycles - 10827 +936+79+150-18+9+9-61-16+199+120+1+12-106-44-18-7-44+128-23-7-14+10+118+42-10-28-2+16-73+123-90+235
hash_g_cycles - 12109 +548-7+25-98-221+20+88+25-108-164+50-196+24+63-201-160-164+92-62+84+21-114-70+67+49+69+37+16+408-37-86-112
hash_h_cycles - 2648 +308+9-7-6-4+0+24-15+33+20+21-2+4-18+2-39+18-20+17-47+11-53+18-44+23+42-35+28-26-11-13-4
