parameter,setting,operation,paired_mean_delta_cycles,paired_median_delta_cycles,bootstrap_ci95_low,bootstrap_ci95_high,favorable_blocks,blocks,direction
1152,normal-aslr-off,keypair_cycles,101.33984375000182,84.5833333333394,-346.4700520833326,599.8020833333348,7,16,candidate-slower
1152,normal-aslr-off,enc_cycles,886.6770833333335,883.8958333333358,846.9388020833344,926.692708333333,0,16,candidate-slower
1152,normal-aslr-off,dec_cycles,35.17838541666674,45.40625,9.850260416667425,58.7161458333328,4,16,candidate-slower
1152,normal-aslr-on,keypair_cycles,-69.48046874999909,-198.375,-787.2122395833317,683.740885416667,10,16,candidate-faster
1152,normal-aslr-on,enc_cycles,954.1575520833289,933.3854166666606,905.257812499995,1005.2539062499941,0,16,candidate-slower
1152,normal-aslr-on,dec_cycles,-53.401041666666515,-20.34375,-123.67708333333371,3.835937500000682,9,16,candidate-faster
1152,reversed-aslr-off,keypair_cycles,145.86718749999955,-8.177083333339397,-147.95052083333167,464.5130208333321,8,16,candidate-slower
1152,reversed-aslr-off,enc_cycles,986.5703125000009,975.2395833333358,937.3658854166679,1039.0169270833348,0,16,candidate-slower
1152,reversed-aslr-off,dec_cycles,64.85156249999932,61.83333333333212,41.1028645833328,89.84765624999864,2,16,candidate-slower
1152,reversed-aslr-on,keypair_cycles,-165.88281249999955,95.28125,-741.1158854166656,369.7734375000009,7,16,candidate-faster
1152,reversed-aslr-on,enc_cycles,1034.6679687500005,1085.3958333333358,847.0247395833326,1170.108072916667,1,16,candidate-slower
1152,reversed-aslr-on,dec_cycles,110.97526041666629,102.45833333333394,81.93880208333235,145.26953124999932,0,16,candidate-slower
